TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/poi/theater/poi_mob_spawner.iff	-8.19	0.00	6.53	0.00
object/tangible/poi/theater/poi_objective_spawner.iff	3.72	0.00	5.86	0.00
object/static/structure/dathomir/nsister_fence_style_01.iff	-13.60	0.00	-5.69	-37.82
object/static/structure/dathomir/nsister_fence_style_01.iff	-6.83	0.00	-11.67	-57.03
object/static/structure/dathomir/nsister_hut_style_01.iff	-1.59	0.00	16.70	10.31
object/static/structure/dathomir/nsister_guard_tower_style_01.iff	-8.20	0.00	16.70	0.00
object/static/structure/dathomir/nsister_fence_style_01.iff	-5.08	0.00	-4.09	-52.18
object/static/structure/dathomir/nsister_tent_house_style_01.iff	9.98	0.00	10.30	53.86
object/static/structure/dathomir/nsister_tent_house_style_01.iff	-16.33	0.00	12.25	-54.43
object/static/structure/dathomir/nsister_hut_style_01.iff	3.36	0.00	14.51	34.95
object/static/structure/dathomir/nsister_fence_style_01.iff	-16.56	0.00	2.31	0.00
object/static/structure/dathomir/nsister_fence_style_01.iff	8.75	0.00	0.60	25.21
object/static/structure/dathomir/nsister_fence_style_01.iff	2.37	0.00	-5.18	67.92
