SCENARIO_NAME	MEDIATOR_TEMPLATE	ANTAGONIST_TEMPLATE	CONTENDED	CONVO_FILE	TOOL
s	s[random]	s[none]	s[none]	s	s[none]
deadbeat	fugitive	pirate	none	poi/deliverance/deadbeat	none
escaped_slave	slave	slavemaster	none	poi/deliverance/escaped_slave	none
farmer_stormtroopers	farmer	stormtrooper	none	poi/deliverance/farmer_stormtroopers	none
girlfriend	commoner	commoner	none	poi/deliverance/girlfriend	none
imperial_rebels	imperial_trooper	rebel_trooper	none	poi/deliverance/imperial_rebels	none
lothario_exlovers	commoner	commoner	none	poi/deliverance/lothario_exlovers	none
oathbreaker	pirate	pirate	none	poi/deliverance/oathbreaker	none
pirate_imperials	pirate	imperial_trooper	none	poi/deliverance/pirate_imperials	none
pirate_rebels	pirate	rebel_trooper	none	poi/deliverance/pirate_rebels	none
poisoner_one	commoner	commoner	none	poi/deliverance/poisoner_one	none
poisoner_two	commoner	commoner	none	poi/deliverance/poisoner_two	none
rebel_stormtroopers	rebel_trooper	stormtrooper	none	poi/deliverance/rebel_stormtroopers	none
slaver_rebels	slavemaster	rebel_trooper	none	poi/deliverance/slaver_rebels	
smuggler_stormtroopers	smuggler	stormtrooper	none	poi/deliverance/smuggler_stormtroopers	none
thief_mob	thief	commoner	none	poi/deliverance/thief_mob	none
treasure	commoner	commoner	none	poi/deliverance/treasure	none
