TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/building/endor/endor_lake_hut.iff	7.41	0.00	-7.50	0.00
object/building/endor/endor_lake_hut_s02.iff	-12.66	0.00	3.74	30.94
object/tangible/poi/theater/poi_mob_spawner.iff	-1.81	0.00	12.43	0.00
object/tangible/poi/theater/poi_objective_spawner.iff	-1.65	0.00	3.02	0.00
object/static/structure/dantooine/dant_fence_4m.iff	5.99	0.00	3.61	-25.21
object/static/structure/dantooine/dant_fence_4m.iff	3.19	0.00	4.69	64.74
object/static/structure/dantooine/dant_fence_4m.iff	7.03	0.00	6.38	64.74
object/static/structure/dantooine/dant_fence_4m.iff	4.19	0.00	7.41	-25.21
object/static/structure/general/rock_beach_dark_lg.iff	-3.43	0.00	-9.88	0.00
object/static/structure/general/rock_beach_dark_md.iff	11.93	0.00	6.17	104.85
