TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/building/tatooine/housing_tatt_style01_small.iff	0.162231	0	-0.390381	180
object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_01.iff	-3.2749	0	-12.6487	88.80845825
object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_02.iff	-0.546631	0	-12.7693	-95.11099399
object/tangible/furniture/tatooine/frn_tato_tbl_cafe_table_style_01.iff	-1.87085	0	-12.6929	0
object/tangible/furniture/tatooine/frn_tato_cafe_parasol.iff	-1.83252	0	-12.718	0
object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_01.iff	-1.85742	0	-13.9878	-176.6537744
object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_02.iff	-1.95313	0	-11.2595	-0.572845495
object/installation/battlefield/destructible/bfield_target_power_transformer_01.iff	9.49011	0	-0.39624	-90.00021046
object/installation/battlefield/destructible/bfield_target_power_transformer_02.iff	13.4901	0	3.60376	-89.9996375
object/installation/battlefield/destructible/bfield_target_power_transformer_01.iff	17.4901	0	-0.39624	89.9996375
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	8.2843	0	-12.1777	53.28513224
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	7.38208	0	-12.7666	130.0614195
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	6.71118	0	-11.7461	101.9864875
object/static/structure/tatooine/debris_tatt_crate_1.iff	7.76489	0	-11.603	40.10710295
object/static/structure/tatooine/debris_tatt_crate_1.iff	-7.23889	0	-9.30151	-72.76563998
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-8.39807	0	-7.5769	-66.46310424
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	-7.36963	0	-8.15161	25.21020028
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	-8.62585	0	-9.42114	18.90754994
object/static/structure/tatooine/debris_tatt_drum_storage_2.iff	-8.83313	0	-8.5144	67.60901983
object/static/installation/mockup_farm_flora_style_1.iff	-13.0198	0	3.13721	-44.99999064
object/static/structure/tatooine/debris_tatt_crate_1.iff	-17.1473	0	9.60083	-72.76621294
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	-18.1473	0	8.60083	18.90754994
object/static/structure/tatooine/debris_tatt_drum_storage_2.iff	-18.1473	0	9.60083	67.60901983
object/static/structure/general/tankfarm_s01.iff	-10.2283	0	9.34668	0
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	-17.1473	0	10.6008	25.21020028
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-18.1473	0	10.6008	-66.46310424
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	19.4901	0	8.60376	-169.1136499
object/static/structure/tatooine/debris_tatt_crate_1.iff	17.4901	0	8.60376	-175.4167586
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	17.4901	0	9.60376	-83.74293838
object/static/structure/tatooine/debris_tatt_drum_storage_2.iff	18.4901	0	9.60376	-35.04152579
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	18.4901	0	7.60376	-77.44040263
