TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/structure/general/skeleton_human_headandbody.iff	-8.6604	0.507324	-4.09717	88.23550045
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	-10.9837	-0.821167	-3.06445	37.81521448
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	-4.45044	-0.493408	-8.40332	37.81521448
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	-4.98846	-0.641251	-3.05762	37.81521448
object/static/structure/general/skeleton_human_head.iff	-2.73889	0.271439	-1.55127	0
object/static/structure/general/skeleton_human_body.iff	-1.40759	0.378265	-2.88916	-5.729526385
object/static/structure/general/skeleton_human_body.iff	-4.34027	0.126419	-7.83838	0
object/static/structure/general/skeleton_human_headandbody.iff	-4.77081	0.32077	-1.2959	50.42022868
object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	-2.23499	-0.350006	-6.16406	-178.3726478
object/static/structure/naboo/gungan_shield_gen_s01.iff	-7.61041	-0.341278	-1.99756	161.0011404
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	22.4354	0.229095	-12.5679	0
object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	22.4786	0.0757141	-8.73145	0
object/static/structure/naboo/gungan_wall_ruined_sm_s01.iff	9.86115	0.0333557	1.60742	-89.95380088
object/static/structure/naboo/gungan_wall_ruined_sm_s02.iff	15.2632	-0.358749	1.62354	-91.10028943
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	23.0024	-0.301331	1.48682	0
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	6.64581	-0.608444	10.7109	0
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	6.23224	-0.759323	13.1729	0
object/static/structure/general/skeleton_human_body.iff	-8.78662	0.458588	-6.80664	-96.82986738
object/static/structure/general/skeleton_human_body.iff	-7.66785	0.453445	-6.27832	-5.729526385
object/static/structure/general/skeleton_human_headandbody.iff	-5.44794	0.405563	-6.90234	115.7374746
object/static/structure/naboo/gungan_sacred_head_s01.iff	14.5492	-0.112198	-5.38086	52.13904477
object/static/structure/naboo/gungan_shield_gen_s01.iff	-8.39948	-0.728271	9.45996	0
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	-10.4459	-0.672058	-8.40967	37.81521448
object/static/structure/naboo/gungan_wall_ruined_lg_s01.iff	14.6191	0.132797	-12.6304	89.95437384
object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	5.93323	-0.236572	-4.15723	0
object/static/structure/naboo/gungan_wall_ruined_lg_s01.iff	-12.3502	0.455887	1.13135	-89.56418958
object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	-20.1765	0.400208	-2.83398	-179.5185634
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	-15.6649	0.00518799	-7.93994	37.81521448
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	-16.417	-0.177322	-2.41455	37.81521448
object/static/structure/naboo/gungan_wall_ruined_sm_s01.iff	-5.01105	-0.175705	-14.333	-89.95380088
object/static/structure/general/skeleton_ithorian_headandbody.iff	-6.48004	0.0230713	-12.0273	0
object/static/structure/general/skeleton_ithorian_head.iff	14.0413	-0.539688	-8.57129	0
object/static/structure/general/skeleton_human_headandbody.iff	0.53186	0.201797	-0.697754	0
object/static/structure/general/skeleton_human_head.iff	14.9336	-0.260025	4.89893	0
object/static/structure/general/skeleton_human_body.iff	-8.18549	0.586624	9.2168	0
object/static/structure/general/streetlamp_large_style_02.iff	2.1571	0.33374	9.29541	0
object/static/structure/general/skeleton_human_headandbody.iff	10.0416	-0.0115662	8.35303	0
object/static/structure/naboo/gungan_statue_s04.iff	1.25958	-0.360565	12.7158	0
object/static/structure/naboo/gungan_statue_s03.iff	-0.255066	-0.282608	12.6245	0
object/static/structure/naboo/gungan_statue_s01.iff	4.22839	0.29538	13.1094	0
object/static/structure/naboo/gungan_statue_s02.iff	2.6828	0.353607	13.0249	0
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	6.59021	0.142456	8.2168	0
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	6.48297	0.108871	5.77197	0
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	-2.42883	0.519592	13.3691	0
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	-2.71918	0.470245	8.46631	0
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	-2.83191	0.508072	11.1943	0
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	-2.91107	0.434631	5.94434	0
object/static/structure/naboo/gungan_wall_ruined_sm_s01.iff	-15.6075	-0.000640869	-14.4063	88.99123178

