TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	-8.91925	-0.0671539	9.55615	48.12845479
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	1.23749	0.0634155	17.3936	175.5078588
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	5.23749	-0.10405	-12.6064	126.8064463
object/static/structure/naboo/gungan_relic_s02.iff	-1.39197	-0.120193	-0.474609	0
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	9.22156	0.00839233	-8.49707	157.1732094
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	-4.76251	-0.189896	13.3936	-60.16056849
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	5.50555	0.253387	15.2095	-108.2890233
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	9.36145	0.0872955	11.2456	-139.2287442
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	-4.92444	0.229294	-14.4419	49.27437038
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	-0.762512	0.0370483	-16.6064	-4.583662361
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	11.6967	0.00164795	5.29395	-64.17127305
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	1.24701	0.149048	-16.6294	-174.7521275
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	-0.778198	0.0471802	17.4287	8.021409132
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	11.2375	-0.142181	-2.60645	174.3619433
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	-10.7625	-0.199753	3.39355	-12.60507149
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	-10.7893	-0.0346832	-4.55127	12.60507149
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	-2.88306	-0.0774841	-5.67285	0
object/static/structure/naboo/gungan_pillar_ruined_s01.iff	-8.77228	0.0587616	-10.8179	-44.69070802

