TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/poi/theater/poi_objective_spawner.iff	-16.16	0.00	9.00	0.00
object/tangible/poi/theater/poi_mob_spawner.iff	-0.06	0.00	0.15	0.00
object/static/flora/flora_tree_rori_mkpodtree.iff	4.91	0.00	21.72	112.87
object/static/structure/tatooine/antenna_tatt_style_1.iff	-11.93	0.00	12.80	0.00
object/static/vehicle/static_lambda_shuttle.iff	11.54	0.00	-0.01	-32.66
object/static/structure/general/camp_tent_s01.iff	0.60	0.00	-10.62	-135.00
object/static/structure/general/camp_tent_s01.iff	-5.40	0.00	-4.62	-135.00
object/static/structure/general/camp_tent_s01.iff	-5.40	0.00	-15.62	45.00
object/static/structure/general/camp_tent_s01.iff	-11.40	0.00	-9.62	45.00
object/static/structure/general/camp_tent_s01.iff	6.60	0.00	-16.62	-135.00
object/static/structure/general/camp_tent_s01.iff	0.60	0.00	-21.62	45.00
object/static/flora/flora_tree_rori_mkpodtree.iff	-9.47	0.00	-21.52	-92.25
object/static/item/item_container_inorganic_minerals.iff	5.98	0.00	2.65	-90.00
object/static/item/item_container_inorganic_minerals.iff	5.96	0.00	1.72	-90.00
