TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/building/military/mun_all_military_tower_impl_guard_s01.iff	-7.23206	0	-8.53442	-180
object/building/military/military_base_shed_imperial_style_01.iff	5.65125	0	4.01587	0
object/tangible/furniture/all/frn_all_data_terminal_wall_s1.iff	3.49438	0	11.5342	0
object/tangible/poi/theater/poi_objective_spawner.iff	-2.27667	0	19.1812	0
object/tangible/poi/theater/poi_mob_spawner.iff	15.181	0	18.2368	0
object/static/structure/general/tankfarm_s01.iff	-16.6739	0	-6.62964	0
object/static/structure/military/military_wall_med_imperial_32_style_01.iff	-8.84827	0	-17.6257	-180
object/static/structure/military/military_wall_med_imperial_32_style_01.iff	-24.9233	0	-1.58179	-90
object/static/structure/military/military_wall_med_imperial_32_style_01.iff	22.5433	0	-1.53247	-89.9999
object/static/structure/military/military_wall_med_imperial_16_style_01.iff	14.4119	0	-17.7161	0
object/static/structure/military/military_column_med_imperial_style_01.iff	-25.0405	0	-17.8638	0
object/static/structure/military/military_column_med_imperial_style_01.iff	22.4588	0	-17.6555	0
object/static/structure/tatooine/antenna_tatt_style_2.iff	18.3644	0	-6.40869	0
