TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/building/military/military_outpost_guard_tower_1.iff	-18.027	0.0734758	-17.1936	0
object/building/military/pirate_outpost.iff	-11.3727	0.0734758	14.6167	90
object/tangible/poi/theater/poi_mob_spawner.iff	24.0524	0.0734758	7.75879	0
object/tangible/poi/theater/poi_objective_spawner.iff	20.3551	0.0734758	-21.2327	0
object/static/structure/tatooine/antenna_tatt_style_1.iff	-15.7922	-2.49818	-25.123	0
object/static/structure/military/military_wall_weak_imperial_32_style_01.iff	-21.9768	0.0734758	-13.7214	-90
object/static/structure/military/military_column_weak_imperial_style_01.iff	-21.9272	0.0734758	-30.1416	0
object/static/structure/military/military_wall_weak_imperial_32_style_01.iff	-5.93689	0.0734758	34.4475	0
object/static/structure/military/military_column_weak_imperial_style_01.iff	-21.9844	0.0734758	34.4236	0
object/static/installation/mockup_mining_liquid_harvester_style_1.iff	-6.92651	0.0734758	-1.21289	-45
object/static/structure/military/military_wall_weak_imperial_32_style_01.iff	-5.69141	0.0734758	-30.2048	1.16E-06
object/static/structure/military/military_wall_weak_imperial_32_style_01.iff	-21.9604	0.0734758	17.8728	-90
