TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/poi/theater/poi_objective_spawner.iff	-0.22	0.00	-11.59	0.00
object/tangible/furniture/all/frn_all_chair_wooden_s1.iff	-0.62	0.07	1.58	-163.29
object/tangible/poi/theater/poi_mob_spawner.iff	-1.51	0.00	-0.33	0.00
object/tangible/furniture/all/frn_all_chair_wooden_s1.iff	-1.89	0.04	-0.48	40.68
object/tangible/furniture/all/frn_all_chair_wooden_s1.iff	0.62	0.04	-0.60	-63.03
object/static/structure/naboo/poi_nboo_tent_hut_s01.iff	9.57	0.00	-3.78	111.15
object/static/structure/naboo/poi_nboo_tent_hut_s01.iff	-10.27	0.00	-5.86	-123.19
object/static/structure/naboo/poi_nboo_tent_hut_s01.iff	-7.81	0.00	7.83	-48.70
object/static/item/item_tool_turbine_generator.iff	5.63	-0.09	-6.13	139.23
