TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/poi/theater/poi_objective_spawner.iff	0.16	0.00	-12.72	0.00
object/tangible/poi/theater/poi_mob_spawner.iff	9.41	0.00	0.12	0.00
object/static/structure/general/prp_junk_s1.iff	-3.91	0.00	-4.33	37.82
object/static/structure/naboo/gungan_relic_s02.iff	0.26	0.00	-6.70	90.00
object/static/structure/naboo/gungan_relic_s02.iff	0.45	0.00	5.76	90.00
object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	6.98	0.00	-6.54	26.93
object/static/structure/naboo/gungan_sacred_head_s01.iff	-7.50	-0.19	0.50	88.24
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	9.59	0.00	-3.99	0.00
object/static/structure/general/prp_junk_s4.iff	0.76	0.00	-3.66	0.00
object/static/structure/naboo/gungan_statue_s02.iff	5.53	0.00	-4.18	90.00
object/static/structure/naboo/gungan_statue_s01.iff	7.44	0.00	3.94	90.00
object/static/structure/naboo/gungan_shield_gen_s01.iff	-4.10	0.00	11.04	0.00
object/static/structure/naboo/gungan_shield_gen_s01.iff	1.26	0.00	11.27	-40.11
