TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/building/military/mun_all_military_tower_impl_guard_s01.iff	8.05	0.00	8.65	45.00
object/building/military/mun_all_military_tower_impl_guard_s01.iff	-7.95	0.00	8.65	-45.00
object/tangible/poi/theater/poi_objective_spawner.iff	-11.66	0.00	-5.25	0.00
object/tangible/poi/theater/poi_mob_spawner.iff	0.17	0.00	5.46	0.00
object/static/structure/general/camp_tent_s01.iff	-3.95	0.00	1.65	90.00
object/static/structure/general/camp_tent_s01.iff	-3.95	0.00	-8.35	90.00
object/static/structure/general/camp_tent_s01.iff	-3.95	0.00	-3.35	90.00
object/static/structure/general/camp_tent_s01.iff	4.05	0.00	-3.35	-90.00
object/static/structure/general/camp_tent_s01.iff	4.05	0.00	-8.35	-90.00
object/static/structure/general/camp_tent_s01.iff	4.05	0.00	1.65	-90.00
object/static/structure/corellia/corl_power_arial_prime.iff	-11.20	0.00	5.88	-44.69
