TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/poi/theater/poi_objective_spawner.iff	-4.24	0.00	-9.14	0.00
object/tangible/poi/theater/poi_mob_spawner.iff	-1.12	0.00	3.55	0.00
object/static/structure/corellia/corl_tent_hut_s01.iff	4.65	0.00	-10.86	139.80
object/static/structure/corellia/corl_tent_hut_s01.iff	5.21	0.00	9.26	32.66
object/static/structure/tatooine/debris_tatt_crate_1.iff	0.57	0.00	9.63	92.25
object/static/structure/tatooine/debris_tatt_crate_1.iff	0.56	0.00	8.93	92.25
object/static/structure/tatooine/debris_tatt_crate_1.iff	0.61	0.00	10.34	92.25
object/static/structure/corellia/corl_tent_hut_s01.iff	-7.56	0.00	4.08	-53.86
object/static/item/item_tool_turbine_generator.iff	-9.76	-0.09	-1.58	105.42
