TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/poi/theater/poi_objective_spawner.iff	-9.31	0.00	11.73	13.18
object/tangible/poi/theater/poi_mob_spawner.iff	-10.08	0.00	-3.73	0.00
object/static/structure/general/camp_tent_s01.iff	-0.90	0.00	-1.59	31.51
object/static/structure/general/camp_tent_s01.iff	5.78	0.00	-1.29	-35.52
object/static/structure/general/camp_tent_s01.iff	3.76	0.00	7.11	-139.80
object/static/structure/general/camp_tent_s01.iff	4.19	0.00	-7.28	-24.06
object/static/structure/naboo/gungan_cleft_wall_lg_s01.iff	3.79	0.00	10.38	-77.35
object/static/structure/general/camp_tent_s01.iff	-0.24	0.00	-7.14	24.64
object/static/structure/naboo/gungan_wall_ruined_lg_s01.iff	-2.65	0.00	4.60	12.03
object/static/structure/naboo/gungan_wall_ruined_lg_s01.iff	8.36	0.00	1.17	160.52
object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	5.14	0.00	-9.54	60.73
object/static/structure/naboo/gungan_cleft_wall_lg_s01.iff	-1.54	0.00	-9.85	-52.71
