TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/poi/theater/poi_mob_spawner.iff	3.68	0.00	2.38	0.00
object/tangible/poi/theater/poi_objective_spawner.iff	-3.62	0.00	1.14	0.00
object/static/structure/general/prp_junk_s4.iff	-9.59	1.22	-12.58	44.69
object/static/structure/general/prp_junk_s6.iff	-13.65	0.00	12.89	-46.98
object/static/structure/general/prp_junk_s6.iff	-15.80	1.59	12.19	94.54
object/static/structure/general/prp_junk_s2.iff	14.36	0.00	-10.04	-49.85
object/static/structure/general/prp_junk_s3.iff	9.50	0.00	14.34	-87.09
object/static/structure/naboo/poi_nboo_tent_hut_s01.iff	-13.10	0.00	-4.11	107.72
object/static/structure/naboo/poi_nboo_tent_hut_s01.iff	5.62	0.00	-10.98	-15.47
object/static/structure/naboo/poi_nboo_tent_hut_s01.iff	-3.53	0.00	11.16	-45.26
object/static/structure/naboo/gungan_damaged_wide_arch_s01.iff	-8.39	0.00	-3.16	-38.96
object/static/structure/naboo/poi_nboo_tent_hut_s01.iff	14.29	0.00	0.65	60.73
object/static/structure/naboo/gungan_wall_ruined_lg_s01.iff	9.63	0.00	-4.01	90.00
object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	-9.27	0.00	-8.34	-124.90
object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	-5.14	0.00	16.91	88.99
