TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/structure/general/camp_tent_s01.iff	1.39209	0.181171	1.68311	-138.083
object/tangible/poi/theater/poi_objective_spawner.iff	10.5269	0.00798607	-2.98218	0
object/tangible/poi/theater/poi_mob_spawner.iff	-1.94922	0.0366459	9.6521	0
object/static/structure/general/camp_tent_s01.iff	-7.53516	0.0479493	-0.516357	117.456
object/static/structure/general/camp_tent_s01.iff	-7.59863	0.0299907	-7.51025	47.165
object/static/structure/general/camp_tent_s01.iff	-0.781738	0.091157	-7.5542	-27.8924
object/static/structure/general/camp_tent_s01.iff	3.81104	0.161752	-3.98657	-84.4074
object/static/structure/general/camp_tent_s01.iff	-4.55713	0.155168	3.60059	166.913
object/static/structure/general/camp_spit_s01.iff	-2.31738	0.170972	-3.06567	0
object/static/structure/general/campfire_fresh.iff	-3.05566	0.169519	-3.23242	0
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	7.84375	-0.600983	8.9541	-136.905
object/static/structure/naboo/gungan_damaged_wall_lg_s01.iff	-11.3213	-0.0792336	-2.22583	0
object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	9.74414	-0.86036	4.38745	18.5497
object/static/structure/naboo/gungan_wall_ruined_lg_s01.iff	2.59424	0.151393	-9.69116	69.9463
object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	-6.86133	-0.075676	10.3369	45
object/static/structure/naboo/gungan_wall_ruined_sm_s02.iff	3.36182	0.155997	12.5728	-86.5167
object/static/structure/general/skeleton_bith_headandbody.iff	4.81885	0.190588	7.18481	0
