TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/structure/general/camp_tent_s01.iff	4.5083	0.222898	4.27588	-123.186
object/tangible/poi/theater/poi_objective_spawner.iff	6.66553	0.0497127	-4.70166	0
object/tangible/poi/theater/poi_mob_spawner.iff	1.46582	0.0783725	8.55518	0
object/static/structure/general/camp_tent_s01.iff	-3.37988	0.0896759	3.5144	114.019
object/static/structure/general/camp_tent_s01.iff	-5.01172	0.0717173	-2.60693	55.1864
object/static/structure/general/camp_tent_s01.iff	1.31494	0.132884	-3.98462	-3.82821
object/static/structure/general/campfire_fresh.iff	0.462891	0.211246	1.13794	0
object/static/structure/naboo/gungan_pillar_damaged_s01.iff	6.19385	-0.559256	9.87793	-136.905
object/static/structure/naboo/gungan_damaged_wall_lg_s01.iff	-10.5244	-0.0375071	-2.33984	0
object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	8.09424	-0.818633	5.31128	18.5497
object/static/structure/naboo/gungan_wall_ruined_lg_s01.iff	-0.279785	0.193049	-9.34766	89.9999
object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	-6.04053	-0.0339494	8.17529	45
