TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/particle/particle_smoke.iff	10.8348	-0.00982857	-1.25439	0
object/static/particle/particle_smoke.iff	6.01031	-0.00982857	8.3999	0
object/static/structure/general/campfire_smoldering.iff	11.3094	-0.00982857	-5.66992	0
object/static/particle/particle_smoke.iff	9.99213	-0.00982857	9.02686	0
object/static/particle/particle_smoke.iff	7.29614	-0.00982857	-10.9365	0
object/static/particle/particle_campfire_style_1.iff	11.7083	-0.00982857	8.44824	0
object/static/particle/particle_campfire_style_1.iff	7.04425	-0.00982857	0.0634766	0
object/static/structure/general/sandcrawler_destroyed.iff	-2.96533	0.481596	0.900879	0
object/static/particle/particle_smoke.iff	-8.6377	-0.00982857	-3.84424	0
object/static/particle/particle_smoke.iff	-8.66309	-0.00982857	-9.33643	0
object/static/particle/particle_smoke.iff	-8.78223	-0.00982857	-7.96289	0
object/static/particle/particle_smoke.iff	-5.69055	-0.00982857	0.251465	0
object/static/particle/particle_smoke.iff	-5.50134	-0.00982857	-9.79639	0
object/static/particle/particle_smoke.iff	-9.33545	-0.00982857	-11.1431	0
object/static/particle/particle_smoke.iff	0.0960693	-0.00982857	1.42627	0
object/static/particle/particle_smoke.iff	-4.56372	-0.00982857	-4.54248	0
object/static/particle/particle_smoke.iff	-3.72778	-0.00982857	0.532715	0
object/static/particle/particle_smoke.iff	0.541504	-0.00982857	2.75586	0
object/static/particle/particle_smoke.iff	-1.76489	-0.00982857	4.97119	0
object/static/particle/particle_campfire_style_1.iff	2.18317	-0.00982857	1.05176	0
object/static/particle/particle_campfire_style_1.iff	1.07031	-0.00982857	5.21436	0
object/static/particle/particle_campfire_style_1.iff	-0.967163	-0.00982857	-1.37012	0
object/static/particle/particle_campfire_style_1.iff	-7.65076	-0.00982857	-4.08203	0
object/static/particle/particle_campfire_style_1.iff	-5.02417	-0.00982857	1.18311	0
object/static/particle/particle_campfire_style_1.iff	-4.22742	-0.00982857	-12.6094	0
object/static/particle/particle_campfire_style_1.iff	-1.27991	-0.00982857	-5.25098	0
object/static/particle/particle_campfire_style_1.iff	-7.01428	-0.00982857	-7.26172	0
object/static/particle/particle_campfire_style_1.iff	-6.91687	-0.00982857	-11.52	0
object/static/structure/general/sandcrawler_debris_02.iff	7.40564	-0.00982857	-7.76465	0
object/static/structure/general/sandcrawler_debris_01.iff	9.92114	-0.00982857	3.33691	0
object/static/structure/general/campfire_ash.iff	10.9017	-0.00982857	-8.26074	0
object/static/particle/particle_smoke.iff	-6.00208	-0.00982857	7.4707	0
object/static/particle/particle_smoke.iff	-8.84094	-0.00982857	8.40576	0
object/static/particle/particle_smoke.iff	-10.077	-0.00982857	6.16162	0
object/static/particle/particle_campfire_style_1.iff	-7.3512	-0.00982857	5.69141	0
object/static/particle/particle_smoke.iff	-4.58508	-0.00983047	13.1387	0
object/static/particle/particle_smoke.iff	-5.49475	-0.00982857	11.2637	0
object/static/particle/particle_smoke.iff	-8.36169	-0.00982857	11.292	0
object/static/particle/particle_campfire_style_1.iff	-4.11768	-0.00982857	11.3525	0
object/static/particle/particle_smoke.iff	-0.228638	-0.00982857	9.5415	0
object/static/particle/particle_smoke.iff	-2.2312	-0.00983047	13.5605	0
object/static/particle/particle_smoke.iff	-2.22314	-0.00982857	11.832	0
object/static/particle/particle_smoke.iff	-0.471802	-0.00982857	13.6362	0
object/static/particle/particle_campfire_style_1.iff	-2.09265	-0.00982857	12.8481	0
object/static/particle/particle_campfire_style_1.iff	8.0235	-0.00982857	-12.7612	0
object/static/particle/particle_campfire_style_1.iff	7.2049	-0.00982857	-10.3423	0
object/static/structure/general/skeleton_bith_head.iff	10.7004	-0.00982857	-11.1802	0
object/static/structure/general/skeleton_human_body.iff	11.4263	-0.00982857	-11.1943	0
object/static/structure/general/skeleton_human_head.iff	10.8815	-0.00982857	-6.20947	0
object/static/structure/general/skeleton_human_headandbody.iff	10.2393	-0.00982857	-9.43262	0

