TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_01.iff	4.38184	-0.550874	10.8953	120.8940948
object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_01.iff	9.5531	-0.550874	9.85913	-114.0186012
object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_01.iff	8.7627	-0.550874	8.08252	-51.56620156
object/static/structure/general/prp_junk_s7.iff	-0.237183	3.10036	-12.8657	-15.91161093
object/static/structure/general/prp_junk_s8.iff	-6.66528	-0.226136	-7.87671	-89.9996375
object/static/structure/general/prp_junk_s8.iff	-6.2644	-0.237608	-3.11548	22.74201269
object/static/structure/general/prp_junk_s8.iff	-2.64734	-0.139776	-10.699	-1.940854424
object/static/structure/general/prp_junk_s8.iff	-2.04529	0.621204	-10.4927	27.91891555
object/static/structure/general/prp_junk_s8.iff	-1.43213	-0.139776	-10.6675	0
object/static/structure/general/prp_junk_s7.iff	7.23218	2.54064	11.656	179.2515651
object/static/structure/general/prp_junk_s6.iff	-7.73547	1.42721	-5.53418	0
object/static/structure/general/prp_junk_s5.iff	8.1604	1.39407	-5.56274	-179.999848
object/static/structure/general/prp_junk_s7.iff	6.03699	0.858463	-10.7612	165.1447712
object/static/structure/general/prp_junk_s4.iff	14.4238	0.70046	7.86182	69.90085101
object/static/structure/general/prp_junk_s2.iff	2.57898	-1.08846	10.8945	57.47855305
object/static/structure/general/prp_junk_s1.iff	11.4967	-0.638144	11.5596	-89.37912421
object/static/structure/general/escape_pod_door.iff	6.02075	0.594683	-5.64966	91.36213114
object/static/structure/general/prp_engine_component.iff	-1.88098	0.176453	9.9375	170.7414229
object/static/structure/general/prp_engine.iff	-4.53479	0.587548	10.4292	-168.0594075
object/static/structure/tatooine/debris_tatt_crate_1.iff	0.0108643	-0.550874	-10.9067	0
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	1.15271	-0.550874	-10.5918	-9.167324722
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	0.876343	-0.550874	-11.522	14.32394488
object/static/structure/general/prp_junk_s7.iff	-7.88184	1.22748	-8.9104	8.021409132
object/static/structure/general/prp_junk_s7.iff	-1.88867	-0.192973	13.7549	-1.171664314
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	2.31641	-0.550874	-10.4143	92.42897855
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	2.32227	-0.550874	-11.5322	111.3365858
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	3.30652	-0.550874	-11.2263	79.25094926
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	4.52905	-0.550874	-10.76	92.42897855
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-5.26648	-0.550874	-5.1626	-101.9864875
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-5.75232	-0.550874	-4.32813	-117.456348
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-6.11426	-0.550874	-4.98853	-110.5808545
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-5.65796	-0.234645	-4.97021	-174.7521275
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-5.71802	-0.234645	-4.2522	-117.456348
object/static/structure/general/campfire_fresh.iff	6.98987	-0.550874	10.0173	0
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	-5.05518	-0.550874	10.5496	170.7414229
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	-3.86646	-0.550874	10.7539	-52.32164641
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	-2.59119	-0.550874	10.5693	179.9087477
object/static/structure/tatooine/debris_tatt_crate_1.iff	-1.1499	-0.550874	9.90967	170.7414229
object/static/structure/tatooine/debris_tatt_crate_1.iff	-1.8457	-0.550874	9.74878	-9.258596899
object/static/structure/general/prp_junk_s8.iff	-4.90771	-0.139776	-9.49634	0
object/static/structure/general/prp_junk_s8.iff	-4.30566	0.621204	-9.29004	27.9224106
object/static/structure/general/prp_junk_s8.iff	-3.6925	-0.139776	-9.46484	0
object/static/structure/tatooine/debris_tatt_crate_1.iff	0.496826	0.144829	10.7104	170.7414229
object/static/structure/tatooine/debris_tatt_crate_1.iff	-0.198242	0.144829	10.5488	-9.258596899
object/static/structure/tatooine/debris_tatt_crate_1.iff	0.666626	-0.550874	10.189	170.7414229
object/static/structure/tatooine/debris_tatt_crate_1.iff	-0.0305176	-0.550874	10.0271	-9.258596899
object/static/structure/tatooine/debris_tatt_crate_1.iff	0.317261	-0.550874	11.1387	170.7414229
object/static/structure/tatooine/debris_tatt_crate_1.iff	-0.378174	-0.550874	10.9771	-9.258596899
object/static/structure/general/prp_engine_component.iff	-1.60559	0.176453	9.60962	179.3357899
object/static/structure/general/prp_engine_component.iff	-2.00537	0.176453	9.56128	170.7414229
object/static/structure/general/prp_engine.iff	-2.64844	0.302941	10.3887	-179.5179905
object/static/structure/general/prp_junk_s7.iff	-8.86682	2.93911	-2.3418	-179.4755916
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	5.38599	-0.550874	-10.187	-42.5813066
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	4.51807	-0.550874	-12.8591	-119.9303798
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	3.3446	-0.550874	-13.1958	-28.25741902

