TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/camp/camp_control_panel.iff	-4.83	0.00	12.17	-173.03
object/tangible/crafting/station/public_food_station.iff	6.59	0.00	-3.11	-60.16
object/tangible/crafting/station/public_weapon_station.iff	3.66	0.00	14.53	-82.51
object/tangible/camp/camp_chair_s2.iff	-1.70	0.00	-7.06	-127.77
object/tangible/camp/camp_chair_s3.iff	-1.88	0.00	4.27	-126.05
object/tangible/camp/camp_chair_s3.iff	-5.04	0.00	-1.10	33.23
object/tangible/camp/camp_chair_s3.iff	-4.21	0.00	2.84	64.17
object/tangible/camp/camp_chair_s3.iff	-7.67	0.00	1.62	2.86
object/tangible/camp/camp_chair_s3.iff	-7.58	0.00	3.85	-179.52
object/tangible/camp/camp_chair_s3.iff	-2.22	0.00	2.33	-36.67
object/tangible/camp/camp_chair_s3.iff	-5.13	0.00	1.07	138.84
object/tangible/camp/camp_chair_s3.iff	-3.11	0.00	-1.06	-49.85
