TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/poi/theater/poi_objective_spawner.iff	5.57	0.00	-11.35	0.00
object/tangible/poi/theater/poi_mob_spawner.iff	-0.98	0.00	6.54	0.00
object/static/structure/tatooine/stone_hovel_tatooine_style_01.iff	-4.24	0.00	-8.84	0.00
object/static/structure/corellia/corl_power_transformer_s02.iff	5.84	0.00	6.35	0.00
object/static/structure/corellia/corl_power_arial_prime.iff	2.67	0.00	7.60	90.00
object/static/structure/tatooine/stone_hovel_tatooine_style_01.iff	-4.23	0.00	10.32	180.00
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	5.25	0.00	-5.07	-63.60
object/static/structure/tatooine/debris_tatt_crate_1.iff	7.23	0.00	-5.72	-159.86
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	3.37	0.00	-6.07	-82.51
