TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/structure/tatooine/tent_house_tatooine_style_01.iff	-11.38	0.00	-2.22	-96.66
object/static/creature/tatooine_bantha_saddle.iff	-13.06	0.00	-8.64	25.21
object/static/creature/tatooine_bantha_saddle.iff	-8.61	0.00	-7.56	8.59
object/static/structure/tatooine/tent_house_tatooine_style_01.iff	-6.79	0.00	9.11	-37.07
object/static/structure/general/poi_tato_tent_s01.iff	4.72	0.00	10.60	20.63
object/static/structure/tatooine/tent_house_tatooine_style_01.iff	11.83	0.00	0.73	82.11
object/static/structure/tatooine/tent_house_tatooine_style_01.iff	7.24	0.00	-10.10	137.29
object/tangible/poi/theater/poi_objective_spawner.iff	0.05	0.00	-6.65	0.00
object/tangible/poi/theater/poi_mob_spawner.iff	-0.03	0.00	-0.82	0.00
