TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/structure/tatooine/stone_hovel_tatooine_style_01.iff	5.80	0.00	-0.75	-55.58
object/static/structure/tatooine/stone_hovel_tatooine_style_01.iff	-7.83	0.00	2.99	86.70
object/static/installation/mockup_mining_liquid_moisture_harvester.iff	5.47	0.00	5.20	0.00
object/tangible/poi/theater/poi_mob_spawner.iff	-2.23	0.00	3.89	0.00
object/static/structure/tatooine/debris_tatt_pipe_dual_unconnected.iff	-7.12	0.00	7.42	0.00
object/static/item/item_container_electronics.iff	-0.01	0.13	-2.97	-22.35
object/static/item/item_container_electronics.iff	0.49	0.13	-4.18	-22.35
object/static/item/item_container_electronics.iff	1.67	0.13	-3.72	-22.35
object/static/item/item_container_electronics.iff	1.21	0.13	-2.47	-22.35
object/tangible/poi/theater/poi_objective_spawner.iff	1.42	0.00	-7.13	0.00
