TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/poi/theater/poi_objective_spawner.iff	-5.20	0.00	-4.73	-32.66
object/tangible/poi/theater/poi_mob_spawner.iff	5.65	0.00	-5.77	36.10
object/static/terrain/tatooine/rock_arch_medium_tatooine_style_1.iff	-3.27	0.00	-0.18	135.00
object/static/structure/general/tato_cave_stalagmite_large.iff	16.43	0.00	3.00	0.00
object/static/structure/general/tato_cave_stalagmite_med.iff	19.57	0.00	9.01	-43.54
object/static/structure/general/tato_cave_stalagmite_med.iff	-8.58	0.00	-20.04	-25.21
object/static/structure/general/tato_cave_stalagmite_large.iff	20.25	0.00	13.60	61.31
object/static/structure/general/tato_cave_stalagmite_large.iff	-5.34	0.00	-16.10	-165.77
object/static/structure/general/tato_cave_stalagmite_small.iff	17.00	0.00	7.89	0.00
