TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/building/tatooine/filler_building_block_64x16_style_02.iff	0.974915	0	-13.1133	-4.010721755
object/building/tatooine/filler_building_slave_quarters_style_01.iff	16.1494	0	-10.5679	-3.437689475
object/building/tatooine/filler_building_slave_quarters_style_01.iff	-10.3587	0	8.65479	176.4710009
object/building/tatooine/filler_building_block_64x16_style_01.iff	1.83118	0	15.5698	176.0808166
object/static/structure/tatooine/pillar_pristine_tall_style_01.iff	-28.7472	0	13.5635	0
object/static/structure/tatooine/pillar_pristine_tall_style_01.iff	-37.489	0	8.5083	-52.13915936
object/static/structure/tatooine/pillar_ruined_large_style_01.iff	-40.6535	0	5.64014	175.3250853
object/static/structure/tatooine/pillar_ruined_large_style_01.iff	-32.0184	0	-12.3657	0
object/static/structure/tatooine/pillar_pristine_tall_style_01.iff	-38.1875	0	-6.90771	-40.10704566
object/static/structure/tatooine/pillar_pristine_tall_style_01.iff	-42.3582	0	-3.88867	-4.010704566
object/static/structure/tatooine/wall_gate_tatooine_style_02.iff	-41.7714	0	0.807129	-4.010704566
object/static/structure/tatooine/wall_pristine_tatooine_large_style_02.iff	-35.8763	0	-8.32373	50.42028597
object/static/structure/tatooine/wall_pristine_tatooine_large_style_02.iff	-34.9088	0	9.75293	-56.14992122
object/static/structure/tatooine/wall_archway_tatooine_wide_style_01.iff	39.0721	0	-2.84668	-1.718873385
object/static/structure/tatooine/pillar_pristine_tall_style_01.iff	38.3821	0	-11.1924	-0.572957795
object/static/structure/tatooine/antenna_tatt_style_2.iff	-9.79297	0	-7.76758	0
object/static/installation/mockup_mining_liquid_moisture_harvester.iff	-17.2003	0	-3.56787	0
object/static/installation/mockup_mining_liquid_moisture_harvester.iff	23.8691	0	3.54004	0
object/static/installation/mockup_power_generator_solar_style_1.iff	-30.9908	0	6.16064	-89.95437384
object/static/structure/tatooine/debris_tatt_crate_1.iff	-0.837097	0	-6.81689	0
object/static/structure/tatooine/debris_tatt_pipe_narrow_2.iff	-1.7146	0	-7.59668	-164.0487029
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	7.67383	0	5.80957	0
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	8.00177	0	4.73926	48.12845479
object/static/structure/tatooine/debris_tatt_crate_1.iff	17.4987	0	4.75439	0
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	16.1798	0	4.58105	33.80450991
object/static/structure/tatooine/debris_tatt_pipe_dual_unconnected.iff	14.5507	0	-5.05176	0
object/static/installation/mockup_power_generator_wind_style_1.iff	42.406	0	14.5112	0
object/static/structure/tatooine/wall_cleft_tatooine_large_style_01.iff	35.221	0	-10.5801	-90.52733163
object/static/structure/tatooine/wall_damaged_tatooine_large_style_01.iff	35.5506	0	4.77979	84.79775368
object/static/structure/tatooine/pillar_pristine_tall_style_01.iff	38.6488	0	3.98291	-1.718873385
object/static/structure/tatooine/debris_tatt_pipe_narrow_1.iff	31.9608	0	3.73291	0
object/static/structure/tatooine/debris_tatt_pipe_narrow_2.iff	34.9358	0	-8.47998	0

