type	pulse	max_spawn	max_population	expire	spawn_template	min_number	max_number	weight	script
s	i	i	i	i	s	i	i	i	s
leader	10	1	1	0					
					mellichae	1	1	1	systems.fs_quest.exit_quest.final_battle_leader
second	10	1	1	0					
					daktar_bloodmoon	1	1	1	systems.fs_quest.exit_quest.final_battle_second
mercenaries	10	1	20	0					
					shadow_mercenary	2	3	1	systems.fs_quest.exit_quest.final_battle_npc
thugs	10	1	20	0					
					shadow_thug	3	4	1	systems.fs_quest.exit_quest.final_battle_npc
merc_help	10	1	20	0					
					shadow_mercenary	2	3	1	systems.fs_quest.exit_quest.final_battle_help_npc
thug_help	10	1	20	0					
					shadow_thug	2	4	1	systems.fs_quest.exit_quest.final_battle_help_npc
