fltTime	strActor	strAction	strTarget	strData1	strData2	intTime
f	s	s	s	s	s	i
1	player	effect	huttsmoke1	clienteffect/npe_explosion_01.cef		
3	player	effect	huttsmoke2	clienteffect/npe_explosion_02.cef		
5	hanSolo	saySound	player	han_tutorial_10	sound/vo_han_solo_2ca.snd	
7	player	effect	huttrun	clienteffect/npe_explosion_01.cef		
9	player	effect	hutt6pos1	clienteffect/npe_explosion_02.cef		
11	player	effect	huttsmoke1	clienteffect/npe_explosion_01.cef		
12	player	effect	huttsmoke2	clienteffect/npe_explosion_02.cef		
13	droid	tutorialComm	player	droid_loop_7	sound/c3po_19.snd	5
14	player	effect	hutt5pos1	clienteffect/npe_explosion_01.cef		
14.5	player	effect	huttsmoke1	clienteffect/npe_explosion_02.cef		
15		goto		0		
