strType	strComments	strName	fltCommandSpeed	fltMaximumHitpoints	fltMaximumArmorHitpoints	fltEnergyMaintenance	fltMass
s	c	s	f	f	f	f	f
object/tangible/ship/components/droid_interface/ddi_armek_military_grade_mk1.iff	1	Test Droid Interface Level 1	32	79	79	464	469
object/tangible/ship/components/droid_interface/ddi_armek_military_grade_mk2.iff	2	Test Droid Interface Level 2	31	119	119	468	821
object/tangible/ship/components/droid_interface/ddi_haor_chall_vintage_piece.iff	3	Test Droid Interface Level 3	27	184	184	462	1161
object/tangible/ship/components/droid_interface/ddi_mission_reward_neutral_sorosuub_w19.iff	4	Test Droid Interface Level 4	26	279	279	462	2015
object/tangible/ship/components/droid_interface/ddi_rendili_imperator_1.iff	5	Test Droid Interface Level 5	22	346	346	456	2827
object/tangible/ship/components/droid_interface/ddi_hk_mk2.iff	6	Test Droid Interface Level 6	17	515	515	456	5051
object/tangible/ship/components/droid_interface/ddi_hk_mk3.iff	7	Test Droid Interface Level 7	15	512	512	452	7017
object/tangible/ship/components/droid_interface/ddi_freitek_droid_commander_mk3.iff	8	Test Droid Interface Level 8	13	766	766	450	12320
object/tangible/ship/components/droid_interface/ddi_sfs_imperial_mk5.iff	9	Test Droid Interface Level 9	11	737	737	449	12676
object/tangible/ship/components/droid_interface/ddi_sfs_elite.iff	10	Test Droid Interface Level 10	8	905	905	444	20941
