strType	strComments	strName	fltShieldRechargeRate	fltShieldHitpointsMaximumFront	fltShieldHitpointsMaximumBack	fltMaximumHitpoints	fltMaximumArmorHitpoints	fltEnergyMaintenance	fltMass
s	c	s	f	f	f	f	f	f	f
object/tangible/ship/components/shield_generator/shd_incom_rayshield_r4.iff	Do not edit.	Test Shield Level 1	2	268	268	99	99	1996	882
object/tangible/ship/components/shield_generator/shd_koensayr_deflector_m2.iff	Do not edit.	Test Shield Level 2	3	338	338	98	98	1817	1643
object/tangible/ship/components/shield_generator/shd_mandalor_flexshield_ks1.iff	Do not edit.	Test Shield Level 3	4	641	641	609	609	1932	2338
object/tangible/ship/components/shield_generator/shd_koensayr_deflector_m3.iff	Do not edit.	Test Shield Level 4	6	838	838	290	290	1954	3986
object/tangible/ship/components/shield_generator/shd_kse_mk4.iff	Do not edit.	Test Shield Level 5	8	1171	1171	431	431	1874	5968
object/tangible/ship/components/shield_generator/shd_sfs_polyweb_6.iff	Do not edit.	Test Shield Level 6	10	1567	1567	541	541	1818	10381
object/tangible/ship/components/shield_generator/shd_koensayr_deflector_elite.iff	Do not edit.	Test Shield Level 7	18	2390	2390	632	632	1400	12340
object/tangible/ship/components/shield_generator/shd_sfs_custom_polyweb_elite.iff	Do not edit.	Test Shield Level 8	18	2579	2579	735	735	1709	25683
object/tangible/ship/components/shield_generator/shd_taim_elite.iff	Do not edit.	Test Shield Level 9	15	2152	2152	760	760	2141	42832
object/tangible/ship/components/shield_generator/shd_moncal_ionweb_elite_2.iff	Do not edit.	Test Shield Level 10	19	2864	2864	773	773	1893	45637
