strTemplate	fltJX	fltJY	fltJZ	fltKX	fltKY	fltKZ	fltPX	fltPY	fltPZ	strObjVars	strScripts	strCellName	intNoCreate	strLocationList
s	f	f	f	f	f	f	f	f	f	p	s	s	i	s
object/tangible/space/content_infrastructure/generic_egg_small.iff	0	1	0	-0.376718	0	0.926328	-18.9021	-0.102244	93.8817	intNoCreate|0|1|strLocationList|4|locSparkers|$|	script.space.ship.ship_interior_autocleanup	elevator57	1	locSparkers
object/tangible/space/content_infrastructure/generic_egg_small.iff	0	1	0	0.99062	0	0.136647	2.097	-0.102229	85.066	intNoCreate|0|1|strLocationList|4|locSparkers|$|	script.space.ship.ship_interior_autocleanup	hall61	1	locSparkers
object/tangible/space/content_infrastructure/generic_egg_small.iff	0	1	0	-0.136647	0	0.99062	7.78022	-0.102229	86.866	intNoCreate|0|1|strLocationList|4|locSparkers|$|	script.space.ship.ship_interior_autocleanup	hall61	1	locSparkers
object/tangible/space/content_infrastructure/generic_egg_small.iff	0	1	0	0.136647	0	-0.99062	14.3287	-0.102229	85.066	intNoCreate|0|1|strLocationList|4|locSparkers|$|	script.space.ship.ship_interior_autocleanup	hall61	1	locSparkers
object/tangible/space/content_infrastructure/generic_egg_small.iff	0	1	0	0.665737	0	0.746186	18.2423	-0.10223	89.1482	intNoCreate|0|1|strLocationList|4|locSparkers|$|	script.space.ship.ship_interior_autocleanup	hall61	1	locSparkers
object/tangible/space/content_infrastructure/generic_egg_small.iff	0	1	0	-0.147607	0	0.989046	12.3557	-0.102229	86.866	intNoCreate|0|1|strLocationList|4|locSparkers|$|	script.space.ship.ship_interior_autocleanup	hall61	1	locSparkers
object/tangible/space/content_infrastructure/generic_egg_small.iff	0	1	0	0.210412	0	0.977613	-3.26583	-0.102229	86.866	intNoCreate|0|1|strLocationList|4|locSparkers|$|	script.space.ship.ship_interior_autocleanup	hall61	1	locSparkers
object/tangible/space/content_infrastructure/generic_egg_small.iff	0	1	0	-0.977613	0	0.210413	-7.83393	-0.102229	85.0662	intNoCreate|0|1|strLocationList|4|locSparkers|$|	script.space.ship.ship_interior_autocleanup	hall61	1	locSparkers
object/tangible/space/content_infrastructure/generic_egg_small.iff	0	1	0	-0.977613	0	0.210413	-11.8074	-0.102229	86.866	intNoCreate|0|1|strLocationList|4|locSparkers|$|	script.space.ship.ship_interior_autocleanup	hall61	1	locSparkers
object/tangible/space/content_infrastructure/generic_egg_small.iff	0	1	0	-0.376718	0	0.926328	-18.6854	-0.10223	89.0569	intNoCreate|0|1|strLocationList|4|locSparkers|$|	script.space.ship.ship_interior_autocleanup	hall61	1	locSparkers
object/mobile/stormtrooper_groupleader.iff	-6.40E-10	1	-1.04E-09	-0.850652	1.78E-15	0.525729	-12.2503	-0.102229	84.616	$|	"script.e3demo.e3_corvette_stormtrooper,script.systems.combat.credit_for_kills"	hall61	0	
object/mobile/dressed_rebel_corvette_commando_human_male_01.iff	0	1	0	0.858387	0	0.513003	-14.5019	-0.102229	85.5915	$|	"script.e3demo.e3_deadguy,script.systems.combat.credit_for_kills"	hall61	0	
object/mobile/dressed_rebel_colonel_bothan_male.iff	0	1	0	-0.745707	0	0.666274	-10.563	-0.102229	85.6066	$|	"script.e3demo.e3_deadguy,script.systems.combat.credit_for_kills"	hall61	0	
