SLICE_CAT	SLICE	SKILL_REQ	STAT	AMOUNT	COST	RANK	COMPONENT
s	s	i	s	i	i	i	s
inc_fire_rate		5					
	rebuild_body	5	fire_rate	2	20	1	
	reduce_weight	15	fire_rate	4	25	2	simple_toolkit
	streamline_load	30	fire_rate	7	25	3	finely_crafted_toolset
	rebuild_pin	50	fire_rate	12	30	4	delicate_trigger_assembly
enh_damage		15					
	replace_stock_cap	15	damage	2	20	1	
	overcharge_core	30	damage	4	20	2	simple_toolkit
	embed_booster	75	damage	8	20	3	illegal_core_booster
inc_crit_chance		50					
	mount_finder	50	crit_chance	3	20	1	simple_toolkit
	notch_file_grip	75	crit_chance	5	40	2	finely_crafted_toolset
	feather_pull	100	crit_chance	10	40	3	delicate_trigger_assembly
