intComponent	strSlot	strTurretType	fltMinDamage	fltMaxDamage	fltRefire	fltDrain	fltShieldEfficiency	fltArmorEfficiency	fltArmorHitpoints	fltComponentHitpoints
h	s	s	f	f	f	f	f	f	f	f
wpn_spacestation_rebel_turret_s01	weapon_0		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s02	weapon_1		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s01	weapon_2		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s02	weapon_3		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s01	weapon_4		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s02	weapon_5		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s01	weapon_6		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s02	weapon_7		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s01	weapon_8		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s02	weapon_9		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s01	weapon_10		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s02	weapon_11		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s01	weapon_12		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s02	weapon_13		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s01	weapon_14		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s02	weapon_15		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s01	weapon_16		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s02	weapon_17		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s01	weapon_18		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s02	weapon_19		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s01	weapon_20		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s02	weapon_21		150	300	0.531	0	1	1	500000	500000
wpn_spacestation_rebel_turret_s01	weapon_22		150	300	0.531	0	1	1	500000	500000
