strComments2	strName	strType	strConversationScript	strAdditionalScripts	fltCostPerDamagePoint	intInvincible
c	s	s	s	s	f	i
	station_tatooine	spacestation_neutral	conversation.station_tatooine	space.content_tools.spacestation	1	1
	station_corellia	spacestation_neutral	conversation.station_corellia	space.content_tools.spacestation	1	1
	station_naboo	spacestation_neutral	conversation.station_naboo	space.content_tools.spacestation	1	1
	station_yavin4	spacestation_neutral	conversation.station_yavin4	space.content_tools.spacestation	1	1
	station_lok	spacestation_neutral	conversation.station_lok	space.content_tools.spacestation	1	1
	station_endor	spacestation_neutral	conversation.station_endor	space.content_tools.spacestation	1	1
	station_rori	spacestation_neutral	conversation.station_rori	space.content_tools.spacestation	1	1
	station_talus	spacestation_neutral	conversation.station_talus	space.content_tools.spacestation	1	1
	station_dathomir	spacestation_neutral	conversation.station_dathomir	space.content_tools.spacestation	1	1
	station_dantooine	spacestation_neutral	conversation.station_dantooine	space.content_tools.spacestation	1	1
	station_rebel_decoration	spacestation_rebel	conversation.pvp_station_rebel		1	1
	station_neutral_decoration	spacestation_neutral			1	1
	station_imperial_decoration	spacestation_imperial	conversation.pvp_station_imperial		1	1
	station_kashyyyk	spacestation_kashyyyk	conversation.station_kashyyyk	space.content_tools.spacestation	1	1
	station_avatar_platform	spacestation_avatar_platform				1
	nebulon	nebulon	conversation.ep3_chanoota			1
