strObject	fltJX	fltJY	fltJZ	fltKX	fltKY	fltKZ	fltPX	fltPY	fltPZ	strObjVars	strScripts
s	f	f	f	f	f	f	f	f	f	p	s
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.069300	0.594473	-0.801124	-0.917078	0.354034	0.183380	1021.00	-2892.80	2898.72	nav_name|4|tier3_privateer_inspect_03|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	-0.712909	0.323310	-0.622280	-0.379412	0.568447	0.730010	1502.41	-3172.52	4240.23	nav_name|4|naboo_imperial_tier4_escort1_4|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.069301	0.594474	-0.801123	0.259859	-0.786088	-0.560838	2983.17	-3342.95	2734.42	nav_name|4|tier3_privateer_inspect_02|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	-0.403192	-0.914945	0.017639	0.792437	-0.339436	0.506780	4998.93	-4963.64	2982.84	nav_name|4|naboo_imperial_tier3_assassinate1_4|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.158058	0.845796	0.509555	-0.034125	0.520413	-0.853233	4497.29	-4930.59	2766.69	nav_name|4|naboo_imperial_tier4_assassinate3_2|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	-0.707701	0.301481	-0.638959	-0.408484	0.563303	0.718214	2200.03	-4231.49	2864.55	nav_name|4|naboo_imperial_tier4_escort1_3|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	-0.561419	0.322686	0.762025	-0.655978	0.387830	-0.647519	5935.97	-4229.87	6447.95	nav_name|4|naboo_rebel_tier4_2_c_assassin_1|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	-0.718540	0.670120	0.186117	0.241878	0.491684	-0.836506	6512.00	-5372.00	2900.00	nav_name|4|stn_dath_imp_01_b_3|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.307035	0.951201	-0.030770	0.250893	-0.112088	-0.961504	4423.25	-5952.95	4998.34	nav_name|4|naboo_imperial_tier4_assassinate3_1|$|	script.space.quest_logic.quest_nav_point
