strObject	fltJX	fltJY	fltJZ	fltKX	fltKY	fltKZ	fltPX	fltPY	fltPZ	strObjVars	strScripts
s	f	f	f	f	f	f	f	f	f	p	s
object/tangible/space/content_infrastructure/basic_spawner.iff	0.522370	-0.578343	0.626617	0.547107	-0.336341	-0.766517	3011.08	1961.97	4303.60	intDangerLevel|0|3|intDangerPct|0|7|intMaxResourcePool|0|6350|intMinResourcePool|0|1370|strAsteroidType|4|organometallic|strSpawnerName|4|kashyyyk_asteroid_6|strSpawnerType|4|asteroid|$|	script.space.content_tools.spawner
object/tangible/space/content_infrastructure/basic_spawner.iff	0.323811	0.934863	0.145528	-0.127524	0.195537	-0.972370	3339.70	2307.69	3472.76	intDangerLevel|0|3|intDangerPct|0|4|intMaxResourcePool|0|3140|intMinResourcePool|0|1870|strAsteroidType|4|organometallic|strSpawnerName|4|kashyyyk_asteroid_5|strSpawnerType|4|asteroid|$|	script.space.content_tools.spawner
object/tangible/space/content_infrastructure/quest_nav_point.iff	-0.122242	0.884382	-0.450472	-0.437223	0.359478	0.824386	4047.73	3172.46	3947.14	nav_name|4|ep3_hunting_ziven_vs_sordaans_freighter_b_04|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.002503	0.999499	-0.031539	0.157697	-0.031539	-0.986984	-1371.96	-2497.06	-2472.76	nav_name|4|ep3_hunting_ziven_vs_sordaans_freighter_a_01|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	-0.873498	0.202404	0.442757	-0.427577	0.115876	-0.896521	-6771.45	-1446.58	-62.26	nav_name|4|ep3_kash_station_assassinate_neutral_01|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.233732	0.714412	-0.659534	0.679673	0.365009	0.636249	-6431.84	-1610.16	156.50	nav_name|4|ep3_kash_station_assassinate_imperial_01|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.175714	-0.869961	0.460752	0.117434	0.483215	0.867590	-6717.34	-1073.27	-1045.06	nav_name|4|ep3_hunting_kerssoc_destroy_chiss_weapons_02|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.183606	-0.866116	0.464900	-0.109963	0.451875	0.885278	-6586.32	-1374.55	-3263.87	nav_name|4|ep3_hunting_kerssoc_destroy_chiss_weapons_01|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.246223	0.945716	0.212123	0.212123	0.160973	-0.963894	-4176.89	-432.39	-793.48	nav_name|4|ep3_kash_station_escort_alpha_02|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.308002	0.943177	-0.124709	-0.753284	0.321830	0.573575	-4625.14	-155.28	-64.21	nav_name|4|ep3_mining_convoy_escort_01|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.280768	0.949135	0.142524	0.662260	-0.084105	-0.744539	-4903.71	-572.53	501.48	nav_name|4|ep3_kash_station_escort_alpha_01|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.067033	0.982899	-0.171514	0.041693	-0.174510	-0.983772	-4777.25	1664.60	-727.80	nav_name|4|ep3_kash_station_escort_bravo_03|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	-0.210394	-0.962931	0.168816	-0.127113	-0.144270	-0.981340	-5996.28	-890.65	-1014.68	nav_name|4|ep3_hunting_kerssoc_supplies_03|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	-0.292600	-0.954802	0.052335	0.338801	-0.052335	0.939401	-4590.47	648.70	-292.98	nav_name|4|ep3_hunting_tripp_protect_shipment_03|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	-0.294629	-0.954855	0.038017	0.248109	-0.038017	0.967986	-5043.61	727.80	-1595.26	nav_name|4|ep3_hunting_tripp_protect_shipment_02|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	-0.292701	-0.954835	0.051154	0.423830	-0.081597	0.902059	-4187.63	572.28	815.94	nav_name|4|ep3_hunting_tripp_protect_shipment_04|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	-0.310299	0.038377	-0.949864	0.427135	0.898274	-0.103243	-4343.39	608.42	1038.85	nav_name|4|ep3_kash_station_assassinate_imperial_03|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.361828	0.914894	-0.179026	-0.918167	0.382979	0.101473	-3148.78	-843.29	-465.83	nav_name|4|ep3_mining_convoy_rendezvous|$|	script.space.quest_logic.quest_nav_point
object/tangible/space/content_infrastructure/quest_nav_point.iff	0.185913	0.831306	0.523801	0.149978	0.502839	-0.851270	-6282.42	805.45	-5591.97	nav_name|4|ep3_kash_station_assassinate_neutral_05|$|	script.space.quest_logic.quest_nav_point
