questZone	escortPath	targetShipType	targetArrivalDelay	targetEscort	targetAttackMode	mustDestroyEscort	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	s	i	s	"e(returnfire=0,attackfreely=1,holdfire=2)[returnfire]"	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_endor	space_endor:corellia_rebel_tier4_4_a_assassinate_1	imp_freighterheavy_tier4	10	imp_tie_aggressor_tier4	returnfire	1	splitquest	success	space_battle:corellia_rebel_tier4_4_c		0	0	0	"The player is ordered to make sure that the Imperial freighters with material for building a new space station in the Lok system, never reaches it."	pilot_profession
	space_endor:corellia_rebel_tier4_4_a_assassinate_2			imp_tie_aggressor_tier4											
	space_endor:corellia_rebel_tier4_4_a_assassinate_3			imp_tie_interceptor_tier4											
	space_endor:corellia_rebel_tier4_4_a_assassinate_4			imp_tie_interceptor_tier4											
	space_endor:corellia_rebel_tier4_4_a_assassinate_5			imp_tie_interceptor_tier4											
	space_endor:corellia_rebel_tier4_4_a_assassinate_6			imp_tie_oppressor_tier4											
				imp_tie_aggressor_tier4											
				freighterlight_corellia_rebel_mission											
				freightermedium_corellia_rebel_mission											
