questZone	shipList	validSpawns	giveSpawnWaypoint	spawnsForWaypointsOnly	killCount	killVariance	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	triggerEndsMission	triggerDelay	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	s	i	i	i	i	e(none=0,splitquest=1,surpriseattack=2)[none]	e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]	s	s	i	i	i	i	i	s	s
space_light1	imp_imperial_gunboat_tier5		0	0	30	0	none	triggerOn			0	0	0	0	0		pilot_profession
	imp_imperial_kessel_lootboat_tier5																
	imp_tie_advanced_tier5																
	imp_tie_aggressor_tier5																
	imp_tie_fighter_tier5																
	imp_tie_interceptor_tier5																
	imp_tie_oppressor_tier5																
	imp_tie_bomber_tier5																
	imp_lambda_shuttle_tier5																
