questZone	escortPath	recoveryPath	targetShipType	targetArrivalDelay	targetRecoverTime	recoverFaction	recoveryAppearance	targetEscort	damageMultiplier	hateModifier	numAttackShipLists	attackShips1	attackShips2	attackShips3	attackShips4	attackShips5	attackShips6	attackShips7	attackShips8	attackPeriod	attackListType	numResponses	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	s	s	i	i	s	s	s	i	i	i	s	s	s	s	s	s	s	s	i	"e(sequential=0,random=1)[sequential]"	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dathomir	space_dathomir:tatooine_rebel_tier4_2_recovery_1	space_dathomir:tatooine_rebel_tier4_2_recovery_7	imp_tie_oppressor_tier4	10	30	rebel	object/mobile/ig_assassin_droid.iff	imp_tie_fighter_tier4	0	1000	2	imp_tie_interceptor_tier4	imp_tie_advanced_tier4							45	random	5	splitquest	both	delivery:tatooine_rebel_tier4_2_a	survival:tatooine_rebel_tier4_2_b	0	0	0	The Rebels are trying to track down where these new Imperial fighter ships are manufactured and need one to examine it properly. The player is ordered to hijack one of them with the help of a space assault droid. 	pilot_profession
	space_dathomir:tatooine_rebel_tier4_2_recovery_2	space_dathomir:tatooine_rebel_tier4_2_recovery_8						imp_tie_fighter_tier4				imp_tie_interceptor_tier4	imp_tie_fighter_tier4																		
	space_dathomir:tatooine_rebel_tier4_2_recovery_3	space_dathomir:tatooine_rebel_tier4_2_recovery_9						imp_tie_fighter_tier4				imp_tie_interceptor_tier4	imp_tie_fighter_tier4																		
	space_dathomir:tatooine_rebel_tier4_2_recovery_4	space_dathomir:tatooine_rebel_tier4_2_recovery_10						imp_tie_fighter_tier4				imp_tie_fighter_tier4	imp_tie_fighter_tier4																		
	space_dathomir:tatooine_rebel_tier4_2_recovery_5							imp_tie_fighter_tier4				imp_tie_fighter_tier4	imp_tie_fighter_tier4																		
	space_dathomir:tatooine_rebel_tier4_2_recovery_6							imp_tie_fighter_tier4				imp_tie_fighter_tier4	imp_tie_fighter_tier4																		
								imp_tie_interceptor_tier4																							
								imp_tie_interceptor_tier4																							
								imp_tie_interceptor_tier4																							
