questZone	battlePoint	damageMultiplier	allyArrivalDelay	enemyArrivalDelay	allyOriginDist	enemyOriginDist	allyArrivalDist	enemyArrivalDist	allyForce	enemyForce	useConversation	convo	convo_delay	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	i	i	i	i	i	i	i	s	s	i	s	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_endor	space_endor:tatooine_imperial_tier4_spacebattle1	3	15	45	400	-400	300	300	imp_decimator_tier4	reb_xwing_tier4	0		0	splitquest	success	inspect:tatooine_imperial_tier4_1_c		0	0	0		pilot_profession
									imp_tie_interceptor_tier4	reb_xwing_tier4			0									
									imp_tie_interceptor_tier4	reb_xwing_tier4			0									
									imp_tie_interceptor_tier4	reb_xwing_tier4			0									
									imp_tie_interceptor_tier4	reb_ykl37r_tier4			0									
									imp_tie_interceptor_tier4	reb_ykl37r_tier4			0									
										reb_ywing_tier4			0									
										reb_ywing_tier4			0									
										reb_ywing_tier4			0									
										reb_ywing_tier4			0									
