object	spawn_id	triggerId	room	loc_x	loc_y	loc_z	yaw	script	spawn_objvar	trigger_event	isInvulnerable	paths	comment	respawn
s[required]	s[none]	s[default]	s[none]	f[0.0]	f[0.0]	f[0.0]	f[0.0]	s[none]	s[none]	s[none]	i[0]	s[none]	s	i[-1]
pathPoint:roof1				2.3	10.51	-11.09	-103					"toCommerce:patrolOnce:roof1,roof2,uphall1,uphall2,uphall3,downstair1,main,exit1,exit2,outside1,outside2,commerce_view,commerce_end"		
pathPoint:roof2			hall1	11	10.5	-14						"toStarport:patrolOnce:roof1,roof2,uphall1,uphall2,uphall3,downstair1,main,exit1,exit2,outside1,outside2,commerce_view,starport_view,starport_end"		
pathPoint:uphall1			stair3	1.5	6.24	-13.66						"toUniversity:patrolOnce:roof1,roof2,uphall1,uphall2,uphall3,downstair1,main,exit1,exit2,outside1,outside2,commerce_view,starport_view,cantina_west,university_view,university_end"		
pathPoint:uphall2			foyer2	1.7	6.24	-8.9						"toHotel:patrolOnce:roof1,roof2,uphall1,uphall2,uphall3,downstair1,main,exit1,exit2,outside1,outside2,commerce_view,starport_view,cantina_west,hotel_end"		
pathPoint:uphall3			foyer2	-1.7	6.2	-8.21						"toMedical:patrolOnce:roof1,roof2,uphall1,uphall2,uphall3,downstair1,main,exit1,exit2,outside1,outside2,commerce_view,starport_view,cantina_west,medical_view,medical_end"		
pathPoint:downstair1			stair2	-1.7	6.25	-14.4						"toCloning:patrolOnce:roof1,roof2,uphall1,uphall2,uphall3,downstair1,main,exit1,exit2,outside1,outside2,commerce_view,starport_view,cantina_west,cantina_ne,cloning_view,cloning_end"		
pathPoint:main			stair2	-10.2	1	-13.67						"toCombat:patrolOnce:roof1,roof2,uphall1,uphall2,uphall3,downstair1,main,exit1,exit2,outside1,outside2,commerce_view,starport_view,cantina_west,cantina_ne,cloning_view,bank_se,bank_ne,combat_near,combat_view,combat_end"		
pathPoint:exit1			foyer	-6.32	1.9	9.5						"toWatto:patrolOnce:roof1,roof2,uphall1,uphall2,uphall3,downstair1,main,exit1,exit2,outside1,outside2,commerce_view,starport_view,cantina_west,cantina_ne,cloning_view,bank_se,bank_ne,combat_near,watto_end"		
pathPoint:exit2			foyer	0	2	9.66						"attack1:patrolOnce:outside2,outside1,exit2,exit1,main,downstair1,uphall3,room1"		
pathPoint:outside1				13.58	2	3.7						"attack2:patrolOnce:outside2,outside1,exit2,exit1,main,downstair1,uphall3,uphall2,room2"		
pathPoint:outside2				12.52	0	12.74						"attack3:patrolOnce:outside2,outside1,exit2,exit1,main,downstair1,uphall3,uphall2,uphall1,roof2,roof1,top1"		
pathPoint:commerce_view				67.4	0	19.3						"attack4:patrolOnce:outside2,outside1,exit2,exit1,main,downstair1,uphall3,uphall2,uphall1,roof2,roof1,top1,top2,top3"		
pathPoint:commerce_end				145	2.5	22.8								
pathPoint:starport_view				82	0	139.5								
pathPoint:starport_end				107	0	163
pathPoint:cantina_west				-15	0	167
pathPoint:university_view				-47	0	149
pathPoint:university_end				-54	2.5	123
pathPoint:hotel_end				-66	1	221
pathPoint:medical_view				-102	0	190
pathPoint:medical_end				-139	0	169
pathPoint:cantina_ne				-41	0	264
pathPoint:cloning_view				-50	0	311
pathPoint:cloning_end				-78	0	309
pathPoint:bank_se				53	0	353
pathPoint:bank_ne				39	0	428
pathPoint:combat_near				61	0	468
pathPoint:combat_view				40	0	461
pathPoint:combat_end				15.6	2.5	464
pathPoint:watto_end				95	0	473
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_watto"		arrive_watto								
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_starport"		arrive_starport								
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_commerce"		arrive_commerce								
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_university"		arrive_university								
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_medical"		arrive_medical								
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_hotel"		arrive_hotel								
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_cloning"		arrive_cloning								
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=arrive_combat"		arrive_combat								
"randomTrigger:citizen1,expert1,expert1"		do_rescue_event								
heroic_tusken_mos_espa_citizen	citizen	citizen1		10	10.4	-8.9	-105	conversation.tusken_citizen	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"
heroic_tusken_mos_espa_expert	expert	expert1		10	10.4	-8.9	-105	conversation.tusken_expert	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"
"randomTrigger:citizen2,expert2,expert2"		do_rescue_event								
heroic_tusken_mos_espa_citizen	citizen	citizen2		8.8	10.51	-4	-156	conversation.tusken_citizen	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"
heroic_tusken_mos_espa_expert	expert	expert2		8.8	10.51	-4	-156	conversation.tusken_expert	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"
"randomTrigger:citizen3,expert3,expert3"		do_rescue_event								
heroic_tusken_mos_espa_citizen	citizen	citizen3		-10.65	10.5	-0.71	128	conversation.tusken_citizen	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"
heroic_tusken_mos_espa_expert	expert	expert3		-10.65	10.5	-0.71	128	conversation.tusken_expert	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"
"randomTrigger:citizen4,expert4,expert4"		do_rescue_event								
heroic_tusken_mos_espa_citizen	citizen	citizen4	bedroom2	6.7	6.25	-8.4	-90	conversation.tusken_citizen	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"
heroic_tusken_mos_espa_expert	expert	expert4	bedroom2	6.7	6.25	-8.4	-90	conversation.tusken_expert	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"
"randomTrigger:citizen5,expert5,expert5"		do_rescue_event								
heroic_tusken_mos_espa_citizen	citizen	citizen5	bedroom1	-6.4	6.2	-8.5	89	conversation.tusken_citizen	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"
heroic_tusken_mos_espa_expert	expert	expert5	bedroom1	-6.4	6.2	-8.5	89	conversation.tusken_expert	int:delete_on_arrive=1	"OnArrivedAtLocation:watto_end:triggerId:arrive_watto,OnArrivedAtLocation:starport_end:triggerId:arrive_starport,OnArrivedAtLocation:commerce_end:triggerId:arrive_commerce,OnArrivedAtLocation:university_end:triggerId:arrive_university,OnArrivedAtLocation:medical_end:triggerId:arrive_medical,OnArrivedAtLocation:hotel_end:triggerId:arrive_hotel,OnArrivedAtLocation:cloning_end:triggerId:arrive_cloning,OnArrivedAtLocation:combat_end:triggerId:arrive_combat,OnDeath:triggerId:citizen_died"
signalMaster;waitForComplete;string:waitForComplete=citizen_died		citizen_died								
object/static/structure/general/waypoint_large_red.iff	red	do_rescue_event								
delayAction:remove_wp:120		do_rescue_event								
deleteSpawn:red:none		remove_wp								
pathPoint:room1			bedroom1	-6.3	6.25	-8.53				
pathPoint:room2			bedroom2	5.69	6.25	-8.65				
pathPoint:top1				9.427	10.4977	-4.7121				
