object	spawn_id	triggerId	room	loc_x	loc_y	loc_z	yaw	script	spawn_objvar	trigger_event	isInvulnerable	comment	paths	respawn
s[required]	s[none]	s[default]	s[none]	f[0.0]	f[0.0]	f[0.0]	f[0.0]	s[none]	s[none]	s[none]	i[0]	c	s[none]	i[-1]
pathPoint:pat1		capture	foyer	-12.58	2.5	14							"pat:patrol:pat1,pat2,pat3,pat4,pat5,pat6,pat5,pat7,pat8,pat7,pat9,pat10,pat11,pat12"	
pathPoint:pat2		capture	hallb	-12.37	2.5	9.14								
pathPoint:pat3		capture	mainroom	-4	2.5	8.16								
pathPoint:pat4		capture	mainroom	5.22	1.1	-4.7								
pathPoint:pat5		capture	mainroom	11.9	1.1	-4.9								
pathPoint:pat6		capture	meetinga	12.2	1.1	-0.6								
pathPoint:pat7		capture	mainroom	-12.2	1.1	-5								
pathPoint:pat8		capture	meetingb	-12.1	1.1	-0.3								
pathPoint:pat9		capture	mainroom	-4.4	1.1	-4.5								
pathPoint:pat10		capture	mainroom	2.7	2.5	7.5								
pathPoint:pat11		capture	halla	11.89	2.5	8.9								
pathPoint:pat12		capture	foyer	12.1	2.5	13.85								
heroic_tusken_massiff	dog1	capture	foyer	-12.58	2.5	14			string:patrol_path=pat					
heroic_tusken_pack_master	pm1	capture	foyer	0	2.5	11.5								
heroic_tusken_raider	raid1	capture	mainroom	2.4	2.4	5.1	41.5	
heroic_tusken_raider	raid2	capture	mainroom	-2.2	2.5	5.6	-42	
heroic_tusken_raid_leader	rl1	capture	meetingd	0	1.1	-12.7	0	
heroic_tusken_savage	sav1	capture	meetingd	2.6	1.1	-10.66	-58.5	
heroic_tusken_sniper	snip1	capture	mainroom	-14.6	1.1	-5	91	
heroic_tusken_raider	raid3	capture	meetingc	7.9	1.1	-12.7	33	
heroic_tusken_raider	raid4	capture	meetingc	13.06	1.1	-12.1	-23	
heroic_tusken_savage	sav2	capture	meetinga	12	1.1	2.56	-178	
"waitForComplete:triggerId:secured:dog1,pm1,raid1,raid2,rl1,sav1,snip1,raid3,raid4,sav2"		capture						
heroic_tusken_da_la_socuna		secured	mainroom	0	1.1	-1.24	0	conversation.tusken_university
object/static/structure/general/waypoint_large_red.iff	red	capture		-3.7	0	12.64		
object/static/structure/general/waypoint_large_green.iff	green	secured		-3.7	0	12.64		
deleteSpawn:red:none		secured						
signalMaster;waitForComplete;string:waitForComplete=university		secured						
messagePlayers:heroic_tusken_kav_taken_university:object/mobile/heroic_tusken_kav_golder.iff		secured						
messagePlayers:heroic_tusken_university_cleared:none		secured						
waitForComplete:triggerId:expert1:expert											
"waitForComplete:triggerId:expert2:expert,expert"											
"waitForComplete:triggerId:expert3:expert,expert,expert"											
messagePlayers:heroic_tusken_university_expert_one:object/mobile/space_rebel_tier1_tatooine_socuna.iff		expert1									
messagePlayers:heroic_tusken_university_expert_two:object/mobile/space_rebel_tier1_tatooine_socuna.iff		expert2									
messagePlayers:heroic_tusken_university_expert_three:object/mobile/space_rebel_tier1_tatooine_socuna.iff		expert3									
deleteSpawn:green:none		expert3									
object/static/structure/general/waypoint_large_blue.iff	blue	expert3		-3.7	0	12.64					
heroic_tusken_scholar		expert1	meetinga	14.19	1.1	5.4	129				1
heroic_tusken_scholar		expert2	meetingb	-15	1.1	-0.38	89				1
heroic_tusken_scholar		expert3	meetingd	-2.9	1.1	-8.5	136				1
delayAction:apply_tusken_bane:5		expert3									
buffHandler:add:tusken_bane:player		apply_tusken_bane									
delayAction:apply_tusken_bane:300		apply_tusken_bane									
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=update_university"		secured									
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=update_univ1"		expert1									
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=update_univ2"		expert2
"signalMaster;triggerFired;string:triggerType=triggerId,string:triggerName=update_univ3"		expert3
signalMaster;waitForComplete;string:waitForComplete=university_staff		expert3
