loc_x	loc_y	loc_z	yaw
f	f	f	f
-684.4	1.1	-5087.3	85
-673.1	1.1	-5113.9	21
-641.5	1.1	-5101.1	-68
-614.5	2	-5098.7	5
-570.7	1.1	-5078.1	6
-595.8	1.1	-5055.2	-85
-566.5	1.1	-5055.1	-9
-619.3	1.1	-5052.5	179
-540.2	1.1	-5044.5	132
-541.8	1.1	-5097.6	-174
-507.1	1.1	-5055.7	159
-465.5	1.1	-5053.7	152
-480.6	0.5	-5019.5	-27
-516.4	1.9	-4976.6	-33
-549.2	0.5	-5027.5	-177
-598.2	0.7	-5032.7	73
-633.3	0.5	-5035.2	-103
-708	0.5	-5036.3	-81
-709.7	2	-4989	-8
-682.9	2	-4955.9	119
-674	2	-4916.5	57
-633.7	2	-4916.6	173
-567.8	2	-4944.4	95
-588	2	-4974.8	-44
-648.3	2	-4974.5	-85
