spawns	name	loc_x	loc_y	loc_z	yaw	script	mood	respawn_time	spawn_objvar
s	s	f	f	f	f	s	s	i	s
object/tangible/gcw/flip_banner_onpole_imperial.iff		5170	80	5683	26				string:faction=2
restuss_elite_dark_trooper		5165	80	5685	-61		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5173	80	5685	52		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5174	80	5678	109		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5165	80	5678	-62		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5144	80	5688	-139		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5137	80	5706	-133		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5135	80	5719	-50		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5187	80	5702	35		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5185	80	5717	34		npc_imperial	240	
restuss_imperial_stormtrooper_st3		5186	80	5734	-63		npc_imperial	240	
