strTemplate	intSpawnLimit	intMinDifficulty	intMaxDifficulty	intWeighting	intSize	intNumToSpawn	strTemplateToSpawn	strLairType	strBuildingType
s	i	i	i	i	i	i	s	s	s
object/tangible/lair/npc_lair.iff	-1	20	500	50	15			lok_flit_lair_neutral_medium	
object/tangible/lair/npc_lair.iff	-1	38	500	50	15			lok_flit_lair2_neutral_medium	
object/tangible/lair/npc_lair.iff	-1	62	500	50	15			lok_flit_pack_neutral_none	
object/tangible/lair/npc_lair.iff	-1	34	500	50	15			lok_flit_pack2_neutral_none	
object/tangible/lair/npc_lair.iff	-1	35	500	50	15			lok_gurnaset_lair_neutral_medium	
object/tangible/lair/npc_lair.iff	-1	35	500	50	15			lok_gurnaset_pack_neutral_none	
object/tangible/lair/npc_lair.iff	-1	60	500	50	15			lok_gurnaset_herd_neutral_none	
object/tangible/lair/npc_lair.iff	-1	28	500	50	15			lok_kusak_lair_neutral_medium	
object/tangible/lair/npc_lair.iff	-1	24	500	50	15			lok_kusak_pack2_neutral_none	
object/tangible/lair/npc_lair.iff	-1	47	500	50	15			lok_perlek_lair_neutral_medium	
object/tangible/lair/npc_lair.iff	-1	47	500	50	15			lok_perlek_pack_neutral_none	
object/tangible/lair/npc_lair.iff	-1	20	500	50	15			lok_pharple_pack_neutral_none	
object/tangible/lair/npc_lair.iff	-1	20	500	50	15			lok_pharple_lair_neutral_medium	
