strTemplate	intSpawnLimit	intMinDifficulty	intMaxDifficulty	intWeighting	intSize	intNumToSpawn	strTemplateToSpawn	strLairType	strBuildingType
s	i	i	i	i	i	i	s	s	s
object/tangible/lair/npc_lair.iff	-1	0	0	15	25			mustafar_crystal_flats_blistmok_raptor_none_lrg	
object/tangible/lair/npc_lair.iff	-1	0	0	15	25			mustafar_crystal_flats_blistmok_raptor_none_med	
object/tangible/lair/npc_lair.iff	-1	0	0	15	25			mustafar_crystal_flats_blistmok_raptor_none_small	
object/tangible/lair/npc_lair.iff	-1	0	0	15	25			mustafar_crystal_flats_blistmok_terroraptor_none_lrg	
object/tangible/lair/npc_lair.iff	-1	0	0	15	25			mustafar_crystal_flats_blistmok_terroraptor_none_med	
object/tangible/lair/npc_lair.iff	-1	0	0	15	25			mustafar_crystal_flats_blistmok_terroraptor_none_small	
object/tangible/lair/npc_lair.iff	-1	0	0	15	25			mustafar_crystal_flats_lava_beetle_soldier_none_lrg	
object/tangible/lair/npc_lair.iff	-1	0	0	15	25			mustafar_crystal_flats_lava_beetle_soldier_none_med	
object/tangible/lair/npc_lair.iff	-1	0	0	15	25			mustafar_crystal_flats_lava_beetle_soldier_none_sml	
