strTemplate	intSpawnLimit	intMinDifficulty	intMaxDifficulty	intWeighting	intSize	intNumToSpawn	strTemplateToSpawn	strLairType	strBuildingType
s	i	i	i	i	i	i	s	s	s
object/tangible/lair/npc_lair.iff	-1	1	500	20	20			tatooine_moisture_settler_neutral_medium_theater	
object/tangible/lair/npc_lair.iff	-1	1	500	20	20			tatooine_moisture_thief_neutral_medium_theater	
object/tangible/lair/npc_lair.iff	-1	1	500	20	30			tatooine_outcast_camp_neutral_small_theater	
object/tangible/lair/npc_lair.iff	-1	1	500	20	7			tatooine_evil_hermit_neutral_none	
object/tangible/lair/npc_lair.iff	-1	1	500	20	20			tatooine_evil_settlement_neutral_medium_theater	
object/tangible/lair/npc_lair.iff	-1	15	500	15	10			tatooine_kreetle_herd_neutral_none	
object/tangible/lair/npc_lair.iff	-1	15	500	15	10			tatooine_kreetle_lair_neutral_small	
object/tangible/lair/npc_lair.iff	-1	15	500	20	15			tatooine_rill_lair_neutral_small	
object/tangible/lair/npc_lair.iff	-1	15	500	20	15			tatooine_rill_pack_neutral_none	
object/tangible/lair/npc_lair.iff	-1	15	500	20	15			tatooine_tatooine_mynock_lair_neutral_small	
object/tangible/lair/npc_lair.iff	-1	15	500	20	15			tatooine_tatooine_mynock_swarm_neutral_none	
