loc_x	loc_y	loc_z	yaw
f	f	f	f
-6981	550	-6613	0
-6841	552	-6696	0
-6667	540	-6575	0
-6577	556	-6442	0
-6867	557	-6414	0
-6754	550	-6600	0
-6855	551	-6620	0
-6961	550	-6576	0
-7003	550	-6505	0
-6983	557	-6414	0
-7046	552	-6447	0
-7060	550	-6546	0
-6959	550	-6638	0
-6797	554	-6659	0
-6675	540	-6606	0
-6915	555	-6429	0
-6877	550	-6680	0
-7048	550	-6607	0
-7111	550	-6492	0
-7078	578	-6388	0
-7133	550	-6561	0
-6948	550	-6473	0
-6930	550	-6527	0
-6889	550	-6569	0
-6814	554	-6562	0
-6722	545	-6537	0
-6677	551	-6474	0
-6644	552	-6528	0
