STRUCTURE	X	Y	Z	CELL	HEADING	TERMINAL
s	f	f	f	s	f	s
object/building/corellia/bank_corellia.iff	0	0.52	4.3	WORLD_DELTA	0	object/tangible/terminal/terminal_bank.iff
object/building/corellia/bank_corellia.iff	4.3	0.52	0	WORLD_DELTA	90	object/tangible/terminal/terminal_bank.iff
object/building/corellia/bank_corellia.iff	0	0.52	-4.3	WORLD_DELTA	180	object/tangible/terminal/terminal_bank.iff
object/building/corellia/bank_corellia.iff	-4.3	0.52	0	WORLD_DELTA	270	object/tangible/terminal/terminal_bank.iff
object/building/naboo/bank_naboo.iff	0	0.52	4.3	WORLD_DELTA	0	object/tangible/terminal/terminal_bank.iff
object/building/naboo/bank_naboo.iff	4.3	0.52	0	WORLD_DELTA	90	object/tangible/terminal/terminal_bank.iff
object/building/naboo/bank_naboo.iff	0	0.52	-4.3	WORLD_DELTA	180	object/tangible/terminal/terminal_bank.iff
object/building/naboo/bank_naboo.iff	-4.3	0.52	0	WORLD_DELTA	270	object/tangible/terminal/terminal_bank.iff
object/building/tatooine/bank_tatooine.iff	0	0.52	4.3	WORLD_DELTA	0	object/tangible/terminal/terminal_bank.iff
object/building/tatooine/bank_tatooine.iff	4.3	0.52	0	WORLD_DELTA	90	object/tangible/terminal/terminal_bank.iff
object/building/tatooine/bank_tatooine.iff	0	0.52	-4.3	WORLD_DELTA	180	object/tangible/terminal/terminal_bank.iff
object/building/tatooine/bank_tatooine.iff	-4.3	0.52	0	WORLD_DELTA	270	object/tangible/terminal/terminal_bank.iff
