db_id	templateFilename
s	s
hair_trandoshan_male_s01	object/tangible/hair/trandoshan/hair_trandoshan_male_s01.iff
hair_trandoshan_male_s02	object/tangible/hair/trandoshan/hair_trandoshan_male_s02.iff
hair_trandoshan_male_s03	object/tangible/hair/trandoshan/hair_trandoshan_male_s03.iff
hair_trandoshan_male_s04	object/tangible/hair/trandoshan/hair_trandoshan_male_s04.iff
hair_trandoshan_male_s05	object/tangible/hair/trandoshan/hair_trandoshan_male_s05.iff
hair_trandoshan_male_s06	object/tangible/hair/trandoshan/hair_trandoshan_male_s06.iff
hair_trandoshan_male_s07	object/tangible/hair/trandoshan/hair_trandoshan_male_s07.iff
hair_trandoshan_male_s08	object/tangible/hair/trandoshan/hair_trandoshan_male_s08.iff
hair_trandoshan_male_s09	object/tangible/hair/trandoshan/hair_trandoshan_male_s09.iff
hair_trandoshan_male_s10	object/tangible/hair/trandoshan/hair_trandoshan_male_s10.iff
hair_trandoshan_male_s11	object/tangible/hair/trandoshan/hair_trandoshan_male_s11.iff
hair_trandoshan_male_s12	object/tangible/hair/trandoshan/hair_trandoshan_male_s12.iff
hair_trandoshan_male_s13	object/tangible/hair/trandoshan/hair_trandoshan_male_s13.iff
hair_trandoshan_male_s14	object/tangible/hair/trandoshan/hair_trandoshan_male_s14.iff
