db_id	templateFilename
s	s
shoes_boots_bith	object/tangible/wearables/shoes/shoes_boots_bith.iff
shoes_boots_foldover	object/tangible/wearables/shoes/shoes_boots_foldover.iff
shoes_boots_general	object/tangible/wearables/shoes/shoes_boots_general.iff
shoes_boots_heavy_weather	object/tangible/wearables/shoes/shoes_boots_heavy_weather.iff
shoes_boots_imperial_flight	object/tangible/wearables/shoes/shoes_boots_imperial_flight.iff
shoes_boots_jedi	object/tangible/wearables/shoes/shoes_boots_jedi.iff
shoes_boots_jerba_leather	object/tangible/wearables/shoes/shoes_boots_jerba_leather.iff
shoes_s01	object/tangible/wearables/shoes/shoes_s01.iff
shoes_s02	object/tangible/wearables/shoes/shoes_s02.iff
shoes_s03	object/tangible/wearables/shoes/shoes_s03.iff
