map_level_min	map_level_max	mob_level_modifier	mob_name	mob_count_min	mob_count_max	planets	loot_table	boss_mob
i	i	i	s	i	i	s	s	s[none]
1	10	2	treasure_guard_adventurer	2	3	tatooine	treasure/treasure_1_10	
11	20	2	treasure_guard_villager	2	3	"tatooine,naboo,corellia"	treasure/treasure_11_20	
21	30	2	treasure_guard_trader	2	3	"tatooine,corellia,lok,naboo,rori,talus"	treasure/treasure_21_30	
31	40	3	treasure_guard_bounty_hunter	2	3	rori	treasure/treasure_31_40	
41	50	3	treasure_guard_droid	2	3	rori	treasure/treasure_41_50	
51	60	4	treasure_guard_padawan	2	3	"lok,rori,talus"	treasure/treasure_51_60	
61	70	4	treasure_guard_jedi	2	3	"talus,dantooine"	treasure/treasure_61_70	
71	80	5	treasure_guard_jedi_elder	2	3	"talus,dantooine"	treasure/treasure_71_80	
81	90	2	treasure_guard_jedi_elite	2	3	"talus,dantooine"	treasure/treasure_81_90	treasure_guard_jedi_boss
