ANIMS	greeter_anims_happy	greeter_anims_sick_sad	greeter_anims_polite	greeter_anims_rude	greeter_anims_expression	emote_greeter_ewok	emote_greeter_jawa	emote_greeter_toydarian	emote_greeter_battle_droid	emote_greeter_gamorrean	emote_greeter_pa_lowick
s	s	s	s	s	s	s	s	s	s	s	s
pose_proudly	accept_affection	beg	bow2	check_wrist_device	beckon	alert	alert	alert	alert	accept_affection	alert
slow_down	applause_excited	heavy_cough_vomit	bow4	flex_biceps	embarrassed	angry	angry	angry_ambient_01_ag	bow	celebrate	angry
point_to_self	applause_polite	hug_self	bow5	gesticulate_wildly	hands_above_head	bow	bow	belly_laugh	celebrate	celebrate1	bow
rub_belly	belly_laugh	shiver	cough_polite	hair_flip	hands_behind_head	celebrate	conversation_1	bow	conversation_1	laugh_cackle	bow2
pat_abdomen	celebrate	slump_head	curtsey	hold_nose	point_away	conversation_1	conversation_2	conversation_1	explain	offer_affection	conversation_1
nod_head_once	celebrate1	smack_self	curtsey1	laugh_pointing	point_down	drink_01_ag	laugh_cackle	conversation_2	fidget	beg	explain
celebrate	clap_rousing	sneeze	nod_head_multiple	pat_abdomen	point_forward	drink_02_ag	nervous	explain	goodbye	shiver	fidget
wave2	laugh_cackle		nod_head_once	point_accusingly	point_left	explain	point_forward	laugh	greet	sneeze	goodbye
rub_chin_thoughtfully	offer_affection		refuse_offer_formal	pose_proudly	point_right	goodbye	shake_head_no	look_left	hold_object	bow5	greet
beckon			rub_chin_thoughtful	pound_fist_chest	point_to_self	greet	shrug_hands	look_right	look_casual	nod_head_multiple	laugh_cackle
bow5			salute1	refuse_offer_affection	point_up	hold_object	sp_01	nervous	look_left	refuse_offer_formal	look_casual
			salute2	rub_belly	shrug_hands	laugh_cackle	sp_02	nod_head_once	look_right	wave_hail	nervous
			shake_head_no	smell_armpit	shrug_shoulders	nervous	threaten	point_forward	nervous	wave1	nod_head_once
			wave_hail	taunt1	smell_air	pick_up	throw	search	nod_head_once	wave2	point_forward
			wave1	taunt2	scratch_head	point_forward	wave1	shake_head_no	pick_up	check_wrist_device	pound_fist_palm
			wave2	shake_head_disgust	wave_on_directing	ewok_pound_fist_chest	yes	shrug_shoulders	point_forward	flex_biceps	search
				slit_throat		shake_head_no		sp_01	put_down	gesticulate_wildly	shake_head_no
				snap_finger1		shrug_shoulders		sp_02	salute1	hair_flip	shrug_shoulders
				snap_finger2		smell_air		sp_03	search	pat_abdomen	sp_01
				stamp_feet		ewok_sp_01		stretch	shrug_shoulders	pound_fist_chest	sp_02
				wave_finger_warning		threaten		taken_aback	sp_01	smell_armpit	sp_03
				wave_on_dismissing		threaten_combat		wave_hail	threaten_combat	taunt1	sp_04
						throw		wave2	wave1	taunt2	sp_05
						vocalize		yes	yes	wave_on_dismissing	taunt1
						wave1				beckon	threaten
						yes				shrug_hands	wave1
										shrug_shoulders	yes
										smell_air	
										wave_on_directing	
