NAME	REQUIRED_1	REQUIRED_2
s	s[none]	s[none]
nalargon	omnibox	flutedroopy
omnibox	flutedroopy	bandfill
flutedroopy	bandfill	mandoviol
bandfill	mandoviol	traz
mandoviol	traz	kloohorn
traz	kloohorn	fanfar
kloohorn	fanfar	fizz
fanfar	fizz	slitherhorn
fizz	slitherhorn	slitherhorn
slitherhorn	slitherhorn	slitherhorn
prop_double_ribbon_spark	prop_ribbon_spark	prop_double_ribbon_magic
prop_ribbon_spark	prop_double_ribbon_magic	prop_ribbon_magic
prop_double_ribbon_magic	prop_ribbon_magic	prop_double_ribbon
prop_ribbon_magic	prop_double_ribbon	prop_ribbon
prop_double_ribbon	prop_ribbon	prop_glowstick
prop_ribbon	prop_glowstick	prop_sparkler
prop_torch	prop_glowstick	prop_sparkler
prop_glowstick	prop_sparkler	prop_sword
prop_sparkler	prop_sword	prop_staff
prop_sword	prop_staff	
prop_staff		
