word	allow sub-string match
s	i
anal	0
ass	0
asshole	1
assmunch	1
asswhole	1
biatch	1
bisexual	1
bitch	1
blowjob	1
boner	0
bong	0
boob	1
butthole	1
cameltoe	1
christ	0
clit	1
clitoris	1
cock	0
cocklick	1
cocks	1
cocksucker	1
condom	1
cum	0
cumbubble	1
cumlicker	1
cunt	1
cybersex	1
damn	1
deepthroat	1
dick	0
dildo	1
dingleberry	1
doggiestyle	1
dong	1
dumbass	1
fag	0
faggot	1
fagot	1
fart	0
fondle	1
foreskin	1
fuck	1
fuk	1
fuxxor	1
george lucas	1
gook	1
hardon	1
hater	1
hooker	1
idiot	1
jackoff	1
jesus	1
jizz	1
kike	1
kunt	1
labia	0
lesbian	1
lezbo	1
licker	0
lolita	1
lust	0
masterbait	1
masterbate	1
masturbait	1
molest	1
muff	0
nazi	1
negro	0
nigga	1
nigger	1
nipple	1
nookie	1
nude	1
nudity	1
orgasm	1
pecker	1
penis	1
piss	1
pisshead	1
playboy	1
poon	1
poop	1
porn	1
pot	0
prick	1
prostitute	1
pubic	1
pussy	1
queef	1
queer	1
rape	0
rapist	1
rectum	1
rimjob	1
satan	1
screw	1
semen	0
sex	1
shag	0
shit	1
skank	1
slime	1
slut	1
sodomy	1
spankthemonkey	1
sperm	1
spick	1
strapon	1
strip	0
stroke	1
sucks	1
suicide	1
tampon	1
testicle	1
tit	0
tits	0
titt	1
topless	1
tramp	0
turd	0
urinate	1
uterus	1
twat	1
vagina	1
vibrator	1
virgin	1
whacker	1
whore	1
wigger	1
wtf	1
