ModifierName	DisplayName	DisplayDescription	IconImageStyle
s	s	s	s
test_first	@test:first_n	@test:first_d	/Styles.Icon.state.diseased
test_second	@test:second_n	@test:second_d	/Styles.Icon.state.stunned
food.dessert_bofa_treat	@food_name:bofa_treat	@food_detail:bofa_treat_eff	/Styles.Icon.buffs.foodStatMod
food.dish_travel_biscuits	@food_name:travel_biscuits	@stat_n:slope_move	/Styles.Icon.buffs.foodSkillMod
food.drink_spiced_tea	@food_name:spiced_tea	@food_detail:spiced_tea_eff	/Styles.Icon.buffs.foodStatMod
food.dessert_blob_candy	@food_name:blob_candy	@food_detail:blob_candy_eff	/Styles.Icon.buffs.foodStatMod
food.drink_caf	@food_name:caf	@food_detail:caf_eff	/Styles.Icon.buffs.foodStatMod
food.dessert_pkneb	@food_name:pkneb	@stat_n:healing_dance_wound	/Styles.Icon.buffs.foodSkillMod
food.dish_kanali_wafers	@food_name:kanali_wafers	@food_detail:kanali_wafers_eff	/Styles.Icon.buffs.foodStatMod
food.drink_jawa_beer	@food_name:jawa_beer	@stat_n:mask_scent	/Styles.Icon.buffs.foodSkillMod
food.dish_teltier_noodles	@food_name:teltier_noodles	@food_detail:telteir_noodles_eff	/Styles.Icon.buffs.foodStatMod
food.dessert_almond_kwevvu_crisp_munchies	@food_name:almond_kwevvu_crisp_munchies	@stat_n:tame_bonus	/Styles.Icon.buffs.foodSkillMod
food.dish_veghash	@food_name:veghash	@stat_n:creature_harvesting	/Styles.Icon.buffs.foodSkillMod
food.dish_gruuvan_shaal	@food_name:gruuvan_shaal	@food_detail:gruuvan_shaal_eff	/Styles.Icon.buffs.foodStatMod
food.dish_scrimpi	@food_name:scrimpi	@food_detail:scrimpi_eff	/Styles.Icon.buffs.foodStatMod
food.dish_ahrisa	@food_name:ahrisa	@food_detail:ahrisa_eff	/Styles.Icon.buffs.foodStatMod
food.dish_rakririan_burnout_sauce	@food_name:rakririan_burnout_sauce	@stat_n:unarmed_damage	/Styles.Icon.buffs.foodSkillMod
food.dish_vegeparsine	@food_name:vegeparsine	@stat_n:melee_defense	/Styles.Icon.buffs.foodSkillMod
food.dish_bivoli_tempari	@food_name:bivoli_tempari	@stat_n:buffing_efficiency	/Styles.Icon.buffs.foodSkillMod
food.dish_terratta	@food_name:terratta	@stat_d:camouflage	/Styles.Icon.buffs.foodSkillMod
food.dish_thakitillo	@food_name:thakitillo	@stat_n:knockdown_defense	/Styles.Icon.buffs.foodSkillMod
food.dish_vercupti_of_agazza_boleruuee	@food_name:vercupti_buff	@food_detail:vercupti_eff	/Styles.Icon.buffs.foodStatMod
food.drink_gralinyn_juice	@food_name:gralinyn_juice	@stat_n:creature_hit_bonus	/Styles.Icon.buffs.foodSkillMod
food.drink_deuterium_pyro	@food_name:deuterium_pyro	@stat_n:intimidate_defense	/Styles.Icon.buffs.foodSkillMod
