saddle_appearance_name	seat_index	rider_pose	comments
s	i	s	c
appearance/mnt_saddle_body1_medium_s01.apt	1	saddle_body1_medium	one and only entry for this 1-seater saddle
appearance/mnt_saddle_body1_narrow_s01.apt	1	saddle_body1_narrow	one and only entry for this 1-seater saddle
appearance/mnt_saddle_body1_wide_s01.apt	1	saddle_body1_wide	one and only entry for this 1-seater saddle
appearance/mnt_saddle_body1_wide_s02.apt	1	saddle_body1_wide	armored dewback saddle
appearance/mnt_saddle_varactyl_armor.apt	1	saddle_body2_wide	one and only entry for this 1-seater saddle
appearance/mnt_saddle_body2_medium_s01.apt	1	saddle_body2_medium	one and only entry for this 1-seater saddle
appearance/mnt_saddle_body2_narrow_s01.apt	1	saddle_body2_narrow	one and only entry for this 1-seater saddle
appearance/mnt_saddle_body2_wide_s01.apt	1	saddle_body2_wide	one and only entry for this 1-seater saddle
appearance/mnt_saddle_body3_wide_s01.apt	1	saddle_body3_wide	one and only entry for this 1-seater saddle
appearance/mnt_saddle_body2_wide_s02.apt	1	saddle_body2_wide	
appearance/landspeeder_test.apt	1	saddle_body1_narrow	one and only entry for this 1-seater saddle
appearance/landspeeder_luke.apt	1	vehicle_landspeeder	"two entries for this 2-seater ""saddle"""
appearance/landspeeder_luke.apt	2	vehicle_landspeeder_passenger	""""
appearance/swoop_bike.apt	1	vehicle_swoop_bike	one and only entry for this 1-seater saddle
appearance/speeder_bike.apt	1	vehicle_speeder_bike	one and only entry for this 1-seater saddle
appearance/landspeeder_av21.apt	1	vehicle_landspeeder	"two entries for this 2-seater ""saddle"""
appearance/landspeeder_av21.apt	2	vehicle_landspeeder_passenger	""""
appearance/flash_speeder.apt	1	vehicle_landspeeder	"two entries for this 2-seater ""saddle"""
appearance/flash_speeder.apt	2	vehicle_landspeeder_passenger	""""
appearance/jetpack_mandalorian_s01.apt	1	vehicle_jetpack	one and only entry for this 1-seater saddle
appearance/frn_all_space_metal_wheeled_s01.apt	1	space_sitting	for piloting a ship
appearance/frn_spc_chair_pilot_s01.apt	1	space_sitting	for piloting a ship
appearance/frn_spc_chair_pilot_s02.apt	1	space_sitting	for piloting a ship
appearance/frn_spc_chair_pilot_s03.apt	1	space_sitting	for piloting a ship
appearance/frn_spc_chair_pilot_s04.apt	1	space_sitting	for piloting a ship
appearance/speeder_sorob_lars.apt	1	vehicle_landspeeder_lars	"7 entries for this 7-seater ""saddle"""
appearance/speeder_sorob_lars.apt	2	vehicle_landspeeder_passenger	""""
appearance/speeder_sorob_lars.apt	3	vehicle_landspeeder_passenger	""""
appearance/speeder_sorob_lars.apt	4	vehicle_landspeeder_backseat	""""
appearance/speeder_sorob_lars.apt	5	vehicle_landspeeder_backseat	""""
appearance/speeder_sorob_lars.apt	6	vehicle_landspeeder_backseat	""""
appearance/speeder_sorob_lars.apt	7	vehicle_landspeeder_backseat	""""
appearance/speeder_xp_38.apt	1	vehicle_landspeeder	"two entries for this 2-seater ""saddle"""
appearance/speeder_xp_38.apt	2	vehicle_landspeeder_passenger	""""
appearance/speeder_ab1.apt	1	vehicle_landspeeder	"two entries for this 2-seater ""saddle"""
appearance/speeder_ab1.apt	2	vehicle_landspeeder_passenger	""""
appearance/clone_barc_speeder.apt	1	vehicle_barc_speeder	one and only entry for this 1-seater saddle
appearance/speeder_usv5.apt	1	vehicle_landspeeder	"5 entries for this 5-seater ""saddle"""
appearance/speeder_usv5.apt	2	vehicle_landspeeder_backseat	""""
appearance/speeder_usv5.apt	3	vehicle_landspeeder_backseat	""""
appearance/speeder_usv5.apt	4	vehicle_landspeeder_backseat	""""
appearance/speeder_usv5.apt	5	vehicle_landspeeder_backseat	""""
appearance/speeder_desert_skiff.apt	1	vehicle_landspeeder_lars	"8 entries for this 8-seater ""saddle"""
appearance/speeder_desert_skiff.apt	2	vehicle_landspeeder_passenger	""""
appearance/speeder_desert_skiff.apt	3	vehicle_landspeeder_passenger	""""
appearance/speeder_desert_skiff.apt	4	vehicle_landspeeder_passenger	""""
appearance/speeder_desert_skiff.apt	5	vehicle_landspeeder_passenger	""""
appearance/speeder_desert_skiff.apt	6	vehicle_landspeeder_passenger	""""
appearance/speeder_desert_skiff.apt	7	vehicle_landspeeder_passenger	""""
appearance/speeder_desert_skiff.apt	8	vehicle_landspeeder_passenger	""""
appearance/speeder_tantive4.apt	1	vehicle_landspeeder	"8 entries for this 8-seater ""saddle"""
