ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	s	s	i	i	i	i	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s
quest.task.ground.go_to_location	@quest/ground/c_newbie_quest1:task00_journal_entry_title	@quest/ground/c_newbie_quest1:task00_journal_entry_description	1			0	1		bankstep	1							1		1	1	tatooine	3494	5	-4940			@quest/ground/c_newbie_quest1:task00_waypoint_name	10.0	0																																			
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest1:task01_journal_entry_title	@quest/ground/c_newbie_quest1:task01_journal_entry_description	1			0	2		bankbox1	1							1		1	0	tatooine	0.0	0.0	0.0						@quest/ground/c_newbie_quest1:task01_message_box_title	@quest/ground/c_newbie_quest1:task01_message_box_text		-1	-1	-1	-1																												
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest1:task02_journal_entry_title	@quest/ground/c_newbie_quest1:task02_journal_entry_description	1			0	3		bankbox2	1							1		1	0	tatooine	0.0	0.0	0.0						@quest/ground/c_newbie_quest1:task02_message_box_title	@quest/ground/c_newbie_quest1:task02_message_box_text		-1	-1	-1	-1																												
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest1:task03_journal_entry_title	@quest/ground/c_newbie_quest1:task03_journal_entry_description	1			0	4		bankreturn	1							1		1	1	tatooine	3484	5	-4808			@quest/ground/c_newbie_quest1:task03_waypoint_name		0								c_newbie_bankreturn	0			0		0	0	0																			
quest.task.ground.reward			0			0	5			0							1		1	0	tatooine	0.0	0.0	0.0																							0	Rebel	0	0		1	object/tangible/loot/simple_kit/paint_disperser.iff	1		1	0.1	0.1	0.1	0.1		1	0.1	
quest.task.ground.go_to_location	@quest/ground/c_newbie_quest1:task05_journal_entry_title	@quest/ground/c_newbie_quest1:task05_journal_entry_description	1			0	6		bazaarstep	1							1		1	1	tatooine	3511	5	-4928			@quest/ground/c_newbie_quest1:task05_waypoint_name	10.0	0																																			
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest1:task06_journal_entry_title	@quest/ground/c_newbie_quest1:task06_journal_entry_description	1			0	7		bazaarbox1	1							1		1	0	tatooine	0.0	0.0	0.0						@quest/ground/c_newbie_quest1:task06_message_box_title	@quest/ground/c_newbie_quest1:task06_message_box_text		-1	-1	-1	-1																												
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest1:task07_journal_entry_title	@quest/ground/c_newbie_quest1:task07_journal_entry_description	1			0	8		bazaarbox2	0							1		1	0	tatooine	0.0	0.0	0.0						@quest/ground/c_newbie_quest1:task07_message_box_title	@quest/ground/c_newbie_quest1:task07_message_box_text		-1	-1	-1	-1																												
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest1:task08_journal_entry_title	@quest/ground/c_newbie_quest1:task08_journal_entry_description	1			0	9		bazaarreturn	1							1		1	1	tatooine	3484	5	-4808			@quest/ground/c_newbie_quest1:task08_waypoint_name		0								c_newbie_bazaarreturn	0			0		0	0	0																			
quest.task.ground.reward			0			0	10			0							1		1	0	tatooine	0.0	0.0	0.0																							0	Rebel	0	1000		1		1		1	0.1	0.1	0.1	0.1		1	0.1	
quest.task.ground.go_to_location	@quest/ground/c_newbie_quest1:task10_journal_entry_title	@quest/ground/c_newbie_quest1:task10_journal_entry_description	1			0	11		clonestep	0							1		1	1	tatooine	3424	5	-5006			@quest/ground/c_newbie_quest1:task10_waypoint_name	10.0	0																																			
quest.task.ground.show_message_box	@quest/ground/c_newbie_quest1:task11_journal_entry_title	@quest/ground/c_newbie_quest1:task11_journal_entry_description	1			0	12		clonebox1	1							1		1	0	tatooine	0.0	0.0	0.0						@quest/ground/c_newbie_quest1:task11_message_box_title	@quest/ground/c_newbie_quest1:task11_message_box_text		-1	-1	-1	-1																												
quest.task.ground.wait_for_signal	@quest/ground/c_newbie_quest1:task12_journal_entry_title	@quest/ground/c_newbie_quest1:task12_journal_entry_description	1			0			clonereturn	1							1		1	1	tatooine	3484	5	-4808			@quest/ground/c_newbie_quest1:task12_waypoint_name		0								c_newbie_clonereturn	0			0		0	0	0																			
