PREREQUISITE_TASKS	EXCLUSION_TASKS	ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	IS_VISIBLE	SHOW_SYSTEM_MESSAGES	ALLOW_REPEATS	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	RADIUS	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY
s	s	s	s	s	s	s	s	b	b	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	f	f	f	i	i	s	i	i	i	s	s	s	i	s	i	i	s	s	i	S	S	S	S	s	i	i
		quest.task.ground.go_to_location	@quest/ground/c_rebdefector:task00_journal_entry_title	@quest/ground/c_rebdefector:task00_journal_entry_description	1		gohiding	1	1	1								1	naboo	4653	0.0	-4412	@quest/ground/c_rebdefector:task00_waypoint_name	10.0																																
		quest.task.ground.wait_for_signal	@quest/ground/c_rebdefector:task01_journal_entry_title	@quest/ground/c_rebdefector:task01_journal_entry_description	2,4,6,10,12		takephrase	1	1	1								0	tatooine	0.0	0.0	0.0			c_rebdefector_code	0			0		0	0	0																							
		quest.task.ground.timer	@quest/ground/c_rebdefector:task02_journal_entry_title		3		time3	0	0	1								0	tatooine	0.0	0.0	0.0												790	850																					
		quest.task.ground.encounter	@quest/ground/c_rebdefector:task03_journal_entry_title	@quest/ground/c_rebdefector:task03_journal_entry_description			ambush3	1	0	1								0	tatooine	0.0	0.0	0.0														mercenary_hireling_reb	8	3	8	0.0	0.0															
		quest.task.ground.timer	@quest/ground/c_rebdefector:task04_journal_entry_title		5		time2	0	0	1								0	tatooine	0.0	0.0	0.0												340	380																					
		quest.task.ground.encounter	@quest/ground/c_rebdefector:task05_journal_entry_title	@quest/ground/c_rebdefector:task05_journal_entry_description			ambush2	1	1	1								0	tatooine	0.0	0.0	0.0														mercenary_hireling_reb	4	3	8	0.0	0.0															
		quest.task.ground.wait_for_signal	@quest/ground/c_rebdefector:task06_journal_entry_title	@quest/ground/c_rebdefector:task06_journal_entry_description	7		waitsignal	1	1	1								1	naboo	2415	0.0	-3948	@quest/ground/c_rebdefector:task06_waypoint_name		c_rebdefector_rdefectorarrived	0			0		0	0	0																							
		quest.task.ground.reward			8			0	0	1								0	tatooine	0.0	0.0	0.0															1						0	Imperial	100	5000			1	0.1	0.1	0.1	0.1		1	0.1
		quest.task.ground.reward			9			1	0	1								0	tatooine	0.0	0.0	0.0															1						0	Rebel	-100	0			1	0.1	0.1	0.1	0.1		1	0.1
		quest.task.ground.complete_quest	@quest/ground/c_rebdefector:task09_journal_entry_title	@quest/ground/c_rebdefector:task09_journal_entry_description			complete	1	1	1								0	tatooine	0.0	0.0	0.0																																		
		quest.task.ground.timer	@quest/ground/c_rebdefector:task10_journal_entry_title		11		time1	0	0	1								0	tatooine	0.0	0.0	0.0												100	150																					
		quest.task.ground.encounter	@quest/ground/c_rebdefector:task11_journal_entry_title	@quest/ground/c_rebdefector:task11_journal_entry_description			ambush1	1	1	0								0	tatooine	0.0	0.0	0.0														mercenary_hireling_reb	5	3	5	0.0	0.0															
		quest.task.ground.timer	@quest/ground/c_rebdefector:task12_journal_entry_title	@quest/ground/c_rebdefector:task12_journal_entry_description	13		timer20	1	0	1								0	tatooine	0.0	0.0	0.0												1200	1200																					
		quest.task.ground.clear_quest	@quest/ground/c_rebdefector:task13_journal_entry_title				failed	1	1	1								0	tatooine	0.0	0.0	0.0																																		
