ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	i	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s	s	b	s	s	s	s	f	f	f
quest.task.ground.go_to_location	@quest/ground/c_story1_1_neu:task00_journal_entry_title	@quest/ground/c_story1_1_neu:task00_journal_entry_description	1			0	1		gotocrash	1							1		1			1	rori	0.0	0.0	2012			@quest/ground/c_story1_1_neu:task00_waypoint_name	20	0																												
quest.task.ground.go_to_location	@quest/ground/c_story1_1_neu:task01_journal_entry_title	@quest/ground/c_story1_1_neu:task01_journal_entry_description	1			0	2,8		search	0							1		1			1	rori	-6	0.0	1999			@quest/ground/c_story1_1_neu:task01_waypoint_name	3	0																												
quest.task.ground.reward	@quest/ground/c_story1_1_neu:task02_journal_entry_title	@quest/ground/c_story1_1_neu:task02_journal_entry_description	1			0	3		datapad	1							1		1			0	tatooine	0.0	0.0	0.0							0	Rebel	0	0		1	object/tangible/mission/quest_item/syren1_locked_data.iff	1		1	0.1	0.1	0.1	0.1		1	1										
quest.task.ground.wait_for_signal	@quest/ground/c_story1_1_neu:task03_journal_entry_title	@quest/ground/c_story1_1_neu:task03_journal_entry_description	1			0	4		unlock	0							1		1			1	naboo	-5152	0.0	4293			@quest/ground/c_story1_1_neu:task03_waypoint_name		0																				c_story1_1_neu_unlockeddata	0			0		0	0	0
quest.task.ground.wait_for_signal	@quest/ground/c_story1_1_neu:task04_journal_entry_title	@quest/ground/c_story1_1_neu:task04_journal_entry_description	1			0	5		doctor	1							1		1			1	rori	-5109	0.0	-2237			@quest/ground/c_story1_1_neu:task04_waypoint_name		0																				c_story1_1_neu_doctorinfo	0			0		0	0	0
quest.task.ground.go_to_location	@quest/ground/c_story1_1_neu:task05_journal_entry_title	@quest/ground/c_story1_1_neu:task05_journal_entry_description	1			0	6		corpse	1							1		1			1	tatooine	3292	0.0	-4542	tatooine	livingroom1	@quest/ground/c_story1_1_neu:task05_waypoint_name	2	0																												
quest.task.ground.reward	@quest/ground/c_story1_1_neu:task06_journal_entry_title	@quest/ground/c_story1_1_neu:task06_journal_entry_description	1			0	7		reward	1							1		1			0	tatooine	0.0	0.0	0.0							0	Rebel	0	0		1	object/tangible/mission/quest_item/syren1_warning.iff	1		1	0.1	0.1	0.1	0.1		1	1										
quest.task.ground.wait_for_signal	@quest/ground/c_story1_1_neu:task07_journal_entry_title	@quest/ground/c_story1_1_neu:task07_journal_entry_description	1			0			cliffhanger	1							1		1			1	naboo	-5152	0.0	4293			@quest/ground/c_story1_1_neu:task07_waypoint_name		0																				c_story1_1_neu_cliffhanger	0			0		0	0	0
quest.task.ground.reward	@quest/ground/c_story1_1_neu:task08_journal_entry_title	@quest/ground/c_story1_1_neu:task08_journal_entry_description	1			0			sample	1							1		1			0	tatooine	0.0	0.0	0.0							0	Rebel	0	0		1	object/tangible/mission/quest_item/syren1_spice.iff	1		1	0.1	0.1	0.1	0.1		1	1										
