ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	REWARD_CREDITS
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	b	s	s	s	s	f	f	f	i	s	i	s	i	s	s	s	s	i	i
quest.task.ground.wait_for_signal	@quest/ground/corellia_tyrena_forgotten_child:task00_journal_entry_title	@quest/ground/corellia_tyrena_forgotten_child:task00_journal_entry_description	1			0	1		forgotten_child_talk_gordo	0							1		1			1	corellia	-6406	23	-2141			@quest/ground/corellia_tyrena_forgotten_child:task00_waypoint_name	0	0.0	0.0	0.0		forgotten_child_talk_gordo	0			0		0	0	0	0										
quest.task.ground.retrieve_item	@quest/ground/corellia_tyrena_forgotten_child:task01_journal_entry_title	@quest/ground/corellia_tyrena_forgotten_child:task01_journal_entry_description	1			0	2		forgotten_child_slice_admin_term	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_forgotten_child:task01_entrance_waypoint_name										0	object/tangible/quest/corellian_slaver_access_terminal_03.iff	1	@quest/ground/corellia_tyrena_forgotten_child:task01_item_name	100	@quest/ground/corellia_tyrena_forgotten_child:task01_retrieve_menu_text					
quest.task.ground.destroy_multi	@quest/ground/corellia_tyrena_forgotten_child:task02_journal_entry_title	@quest/ground/corellia_tyrena_forgotten_child:task02_journal_entry_description	1			0	3		get_info_from_guards	0							1		1			0	tatooine	0.0	0.0	0.0				0	-6406	23	-2141	@quest/ground/corellia_tyrena_forgotten_child:task02_entrance_waypoint_name										0						corellia_tyrena_slaver_guard_elite			3	0
quest.task.ground.wait_for_signal	@quest/ground/corellia_tyrena_forgotten_child:task03_journal_entry_title	@quest/ground/corellia_tyrena_forgotten_child:task03_journal_entry_description	1			0	4		forgotten_return_to_gordo	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		forgotten_return_to_gordo	0			0		0	0	0	0										
quest.task.ground.retrieve_item	@quest/ground/corellia_tyrena_forgotten_child:task04_journal_entry_title	@quest/ground/corellia_tyrena_forgotten_child:task04_journal_entry_description	1			0	5		forgotten_get_location	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0	object/tangible/quest/corellian_slaver_access_terminal_05.iff	1	@quest/ground/corellia_tyrena_forgotten_child:task04_item_name	100	@quest/ground/corellia_tyrena_forgotten_child:task04_retrieve_menu_text					
quest.task.ground.destroy_multi	@quest/ground/corellia_tyrena_forgotten_child:task05_journal_entry_title	@quest/ground/corellia_tyrena_forgotten_child:task05_journal_entry_description	1			0	6		kill_neekas_guards	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0											0						corellia_tyrena_slaver_guard_elite_detention			4	0
quest.task.ground.wait_for_signal	@quest/ground/corellia_tyrena_forgotten_child:task06_journal_entry_title	@quest/ground/corellia_tyrena_forgotten_child:task06_journal_entry_description	1			0	7		forgotten_talk_neeka	0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		forgotten_talk_neeka	0			0		0	0	0	0										
quest.task.ground.wait_for_signal	@quest/ground/corellia_tyrena_forgotten_child:task07_journal_entry_title	@quest/ground/corellia_tyrena_forgotten_child:task07_journal_entry_description	1			0	8		forgotten_return_zorgom	0							1		1			1	corellia	-4707	16	-1873			@quest/ground/corellia_tyrena_forgotten_child:task07_waypoint_name	0	0.0	0.0	0.0		forgotten_return_zorgom	0			0		0	0	0	0										
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																					
