ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	MESSAGE_BOX_TITLE	MESSAGE_BOX_TEXT	MESSAGE_BOX_SOUND	MESSAGE_BOX_SIZE_WIDTH	MESSAGE_BOX_SIZE_HEIGHT	MESSAGE_BOX_LOCATION_X	MESSAGE_BOX_LOCATION_Y
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	i	s	i	s	s	b	s	s	s	s	f	f	f	i	i	s	i	i	i	s	s	s	s	s	i	i	i	i
quest.task.ground.go_to_location	@quest/ground/ep3_clone_relics_boba_fett_5:task00_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_5:task00_journal_entry_description	1			0	1			1							1		1	0	dantooine	-568.0	0.0	-3797.0				100.0	0																													
quest.task.ground.retrieve_item	@quest/ground/ep3_clone_relics_boba_fett_5:task01_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_5:task01_journal_entry_description	1			0	2,10		searchedComputer	1							1		1	0	tatooine	0.0	0.0	0.0					0	object/tangible/quest/clone_relics_computer_terminal.iff	1	@quest/ground/ep3_clone_relics_boba_fett_5:task01_item_name	100																									
quest.task.ground.wait_for_signal	@quest/ground/ep3_clone_relics_boba_fett_5:task02_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_5:task02_journal_entry_description	1			0	3,6		needToTalkScientist	1							1		1	0	tatooine	0.0	0.0	0.0					0						talkedToScientist	0			0		0	0	0															
quest.task.ground.go_to_location	@quest/ground/ep3_clone_relics_boba_fett_5:task03_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_5:task03_journal_entry_description	1			0	4		goToMiningOutpost	1							1		1	0	dantooine	-556	1	-3820				10	0																													
quest.task.ground.wait_for_signal	@quest/ground/ep3_clone_relics_boba_fett_5:task04_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_5:task04_journal_entry_description	1			0	5			1							1		1	0	tatooine	0.0	0.0	0.0					0						talkedScientistAgain	0			0		0	0	0															
quest.task.ground.complete_quest			0			0				0							1		1	0	tatooine	0.0	0.0	0.0																																		
quest.task.ground.timer			0			0	7			0							1		1	0	tatooine	0.0	0.0	0.0																				30	60													
quest.task.ground.encounter			0			0	8			0							1		1	0	tatooine	0.0	0.0	0.0					0																	clone_relics_warren_agro_droid_s03	2	5	15	0.0	0.0							
quest.task.ground.timer			0			0	9			0							1		1	0	tatooine	0.0	0.0	0.0																				30	60													
quest.task.ground.encounter			0			0				0							1		1	0	tatooine	0.0	0.0	0.0					0																	clone_relics_warren_agro_droid_s04	1	10	50	0.0	0.0							
quest.task.ground.escort			0			0		11		0							1		1	0	tatooine	0.0	0.0	0.0						clone_relics_warren_scientist																												
quest.task.ground.show_message_box			0			0	12			1							1		1	0	tatooine	0.0	0.0	0.0																												@quest/ground/ep3_clone_relics_boba_fett_5:task11_message_box_title	@quest/ground/ep3_clone_relics_boba_fett_5:task11_message_box_text		-1	-1	-1	-1
quest.task.ground.clear_quest	@quest/ground/ep3_clone_relics_boba_fett_5:task12_journal_entry_title	@quest/ground/ep3_clone_relics_boba_fett_5:task12_journal_entry_description	1			0				1							1		1	0	tatooine	0.0	0.0	0.0																																		
