ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z	TASK_QUEST_NAME_1	TASK_TASK_NAME_1	TASK_DISPLAY_STRING_1	TASK_QUEST_NAME_2	TASK_TASK_NAME_2	TASK_DISPLAY_STRING_2	TASK_QUEST_NAME_3	TASK_TASK_NAME_3	TASK_DISPLAY_STRING_3	TASK_QUEST_NAME_4	TASK_TASK_NAME_4	TASK_DISPLAY_STRING_4	TASK_QUEST_NAME_5	TASK_TASK_NAME_5	TASK_DISPLAY_STRING_5	TASK_QUEST_NAME_6	TASK_TASK_NAME_6	TASK_DISPLAY_STRING_6
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	s	i	s	i	i	i	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
quest.task.ground.go_to_location	@quest/ground/ep3_clone_relics_jedi_starfighter_3:task00_journal_entry_title	@quest/ground/ep3_clone_relics_jedi_starfighter_3:task00_journal_entry_description	1			0	1,3,5,7			1							1		1			1	kashyyyk_dead_forest	274	8	-26			@quest/ground/ep3_clone_relics_jedi_starfighter_3:task00_waypoint_name	30.0	0																								
quest.task.ground.encounter			0			0		2	encounter3	0							1		1			0	tatooine	0.0	0.0	0.0					0	rebel_trooper	8	5	10	0.0	0.0																		
quest.task.ground.clear_quest			0			0				0	sound/music_themequest_fail_imperial.snd						1		1			0	tatooine	0.0	0.0	0.0																													
quest.task.ground.encounter			0			0		4	encounter2	0							1		1			0	tatooine	0.0	0.0	0.0					0	rebel_medic	2	5	10	0.0	0.0																		
quest.task.ground.clear_quest			0			0				0	sound/music_themequest_fail_imperial.snd						1		1			0	tatooine	0.0	0.0	0.0																													
quest.task.ground.encounter			0			0		6	encounter1	0							1		1			0	tatooine	0.0	0.0	0.0					0	rebel_first_lieutenant	1	5	10	0.0	0.0																		
quest.task.ground.clear_quest			0			0				0	sound/music_themequest_fail_imperial.snd						1		1			0	tatooine	0.0	0.0	0.0																													
quest.task.ground.wait_for_tasks	@quest/ground/ep3_clone_relics_jedi_starfighter_3:task07_journal_entry_title	@quest/ground/ep3_clone_relics_jedi_starfighter_3:task07_journal_entry_description	1			0	8			1							1		1			0	tatooine	0.0	0.0	0.0					0							quest/ep3_clone_relics_jedi_starfighter_3	encounter1	@quest/ground/ep3_clone_relics_jedi_starfighter_3:task07_task_display_string_1	quest/ep3_clone_relics_jedi_starfighter_3	encounter2	@quest/ground/ep3_clone_relics_jedi_starfighter_3:task07_task_display_string_2	quest/ep3_clone_relics_jedi_starfighter_3	encounter3	@quest/ground/ep3_clone_relics_jedi_starfighter_3:task07_task_display_string_3									
quest.task.ground.go_to_location	@quest/ground/ep3_clone_relics_jedi_starfighter_3:task08_journal_entry_title	@quest/ground/ep3_clone_relics_jedi_starfighter_3:task08_journal_entry_description	1			0	9			1							1		1			0	kashyyyk_main	-676	18	-125				10.0	0																								
quest.task.ground.complete_quest			0			0				0							1		1			0	tatooine	0.0	0.0	0.0																													
