ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	SERVER_TEMPLATE	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MIN_TIME	MAX_TIME	CREATURE_TYPE	COUNT	MIN_DISTANCE	MAX_DISTANCE	RELATIVE_OFFSET_X	RELATIVE_OFFSET_Z
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s	s	s	i	s	s	b	s	s	s	s	f	f	f	i	i	s	i	i	i	s	s
quest.task.ground.go_to_location	@quest/ground/ep3_clone_relics_queen_1:task00_journal_entry_title	@quest/ground/ep3_clone_relics_queen_1:task00_journal_entry_description	1			0	1,3			1	sound/music_themequest_acc_rebel.snd						1		1	0	kashyyyk_main	-94.0	28.0	-150.0				20.0	0																		
quest.task.ground.escort	@quest/ground/ep3_clone_relics_queen_1:task01_journal_entry_title	@quest/ground/ep3_clone_relics_queen_1:task01_journal_entry_description	1			0		2		1							1		1	0	tatooine	0.0	0.0	0.0						clone_relics_wookie_informant_01																	
quest.task.ground.clear_quest	@quest/ground/ep3_clone_relics_queen_1:task02_journal_entry_title	@quest/ground/ep3_clone_relics_queen_1:task02_journal_entry_description	1			0				1	sound/music_themequest_fail_rebel.snd						1		1	0	tatooine	0.0	0.0	0.0																							
quest.task.ground.wait_for_signal			0			0	4,6		escortWookie	0							1		1	0	tatooine	0.0	0.0	0.0					0		talkedToWookie	0			0		0	0	0								
quest.task.ground.go_to_location	@quest/ground/ep3_clone_relics_queen_1:task04_journal_entry_title	@quest/ground/ep3_clone_relics_queen_1:task04_journal_entry_description	1			0	5			1							1		1	1	kashyyyk_main	-468.0	18.0	-124.0			@quest/ground/ep3_clone_relics_queen_1:task04_waypoint_name	50	0																		
quest.task.ground.complete_quest			0			0				0						ep3_clone_relics_queen_2	1		1	0	tatooine	0.0	0.0	0.0																							
quest.task.ground.timer			0			0	7			0							1		1	0	tatooine	0.0	0.0	0.0																35	65						
quest.task.ground.encounter			0			0	8			0							1		1	0	tatooine	0.0	0.0	0.0					0													ep3_npc_trandoshan_slavers	3	40	60	0.0	0.0
quest.task.ground.timer			0			0	9			0							1		1	0	tatooine	0.0	0.0	0.0																30	60						
quest.task.ground.encounter			0			0				0							1		1	0	tatooine	0.0	0.0	0.0					0													scout_trooper	3	40	60	0.0	0.0
