ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	WAYPOINT_NAME	SIGNAL_NAME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	b	s	s	s	s	s	s
quest.task.ground.nothing			0			0	1,4,7,10			0							1		1	0	tatooine	0.0	0.0	0.0		
quest.task.ground.wait_for_signal			0			0	2		sordaan_webweaverBetReward	0							1		1	0	tatooine	0.0	0.0	0.0		sordaan_webweaverBetReward
quest.task.ground.wait_for_signal	@quest/ground/ep3_hunt_sordaan_seek_harroom:task02_journal_entry_title	@quest/ground/ep3_hunt_sordaan_seek_harroom:task02_journal_entry_description	1			0	3		sordaan_talkToHarroom_04	0							1		1	0	tatooine	0.0	0.0	0.0		sordaan_talkToHarroom
quest.task.ground.clear_quest			0			0				0							1		1	0	tatooine	0.0	0.0	0.0		
quest.task.ground.wait_for_signal			0			0	5		sordaan_moufBetReward	0							1		1	0	tatooine	0.0	0.0	0.0		sordaan_moufBetReward
quest.task.ground.wait_for_signal	@quest/ground/ep3_hunt_sordaan_seek_harroom:task05_journal_entry_title	@quest/ground/ep3_hunt_sordaan_seek_harroom:task05_journal_entry_description	1			0	6		sordaan_talkToHarroom_03	0							1		1	0	tatooine	0.0	0.0	0.0		sordaan_talkToHarroom
quest.task.ground.clear_quest			0			0				0							1		1	0	tatooine	0.0	0.0	0.0		
quest.task.ground.wait_for_signal			0			0	8		sordaan_wallugaBetReward	0							1		1	0	tatooine	0.0	0.0	0.0		sordaan_wallugaBetReward
quest.task.ground.wait_for_signal	@quest/ground/ep3_hunt_sordaan_seek_harroom:task08_journal_entry_title	@quest/ground/ep3_hunt_sordaan_seek_harroom:task08_journal_entry_description	1			0	9		sordaan_talkToHarroom_02	0							1		1	0	tatooine	0.0	0.0	0.0		sordaan_talkToHarroom
quest.task.ground.clear_quest			0			0				0							1		1	0	tatooine	0.0	0.0	0.0		
quest.task.ground.wait_for_signal			0			0	11		sordaan_ullerBetReward	0							1		1	0	tatooine	0.0	0.0	0.0		sordaan_ullerBetReward
quest.task.ground.wait_for_signal	@quest/ground/ep3_hunt_sordaan_seek_harroom:task11_journal_entry_title	@quest/ground/ep3_hunt_sordaan_seek_harroom:task11_journal_entry_description	1			0	12		sordaan_talkToHarroom_01	0							1		1	0	tatooine	0.0	0.0	0.0		sordaan_talkToHarroom
quest.task.ground.clear_quest			0			0				0							1		1	0	tatooine	0.0	0.0	0.0		
